"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"470152","luk","2","39","2",",1450892,",",1229084,1229085,1229086,",0,"[{'id': 1450892, 'book_id': 'luk', 'chapter': '2', 'verse': '39', 'word_num': 2, 'word': 'ἐτέλεσαν', 'occurrence': 1, 'strong': 'G50550', 'lemma': 'τελέω', 'morph': 'Gr,V,IAA3,,P,'}]","ἐτέλεσαν",1,2,"[{'id': 1229084, 'book_id': 'luk', 'chapter': '2', 'verse': '39', 'word_num': 2, 'word': 'they', 'occurrence': 1}, {'id': 1229085, 'book_id': 'luk', 'chapter': '2', 'verse': '39', 'word_num': 3, 'word': 'had', 'occurrence': 1}, {'id': 1229086, 'book_id': 'luk', 'chapter': '2', 'verse': '39', 'word_num': 4, 'word': 'completed', 'occurrence': 1}]","they had completed",3,"ἐτέλεσαν = they had completed",1.0,2,0,0
"510282","act","13","29","1",",1492740,",",1283564,1283565,1283566,",0,"[{'id': 1492740, 'book_id': 'act', 'chapter': '13', 'verse': '29', 'word_num': 2, 'word': 'ἐτέλεσαν', 'occurrence': 1, 'strong': 'G50550', 'lemma': 'τελέω', 'morph': 'Gr,V,IAA3,,P,'}]","ἐτέλεσαν",1,2,"[{'id': 1283564, 'book_id': 'act', 'chapter': '13', 'verse': '29', 'word_num': 1, 'word': 'they', 'occurrence': 1}, {'id': 1283565, 'book_id': 'act', 'chapter': '13', 'verse': '29', 'word_num': 2, 'word': 'had', 'occurrence': 1}, {'id': 1283566, 'book_id': 'act', 'chapter': '13', 'verse': '29', 'word_num': 3, 'word': 'completed', 'occurrence': 1}]","they had completed",3,"ἐτέλεσαν = they had completed",1.0,2,0,0
"479010","luk","12","50","8",",1459909,",",1241043,1241044,1241045,",0,"[{'id': 1459909, 'book_id': 'luk', 'chapter': '12', 'verse': '50', 'word_num': 9, 'word': 'τελεσθῇ', 'occurrence': 1, 'strong': 'G50550', 'lemma': 'τελέω', 'morph': 'Gr,V,SAP3,,S,'}]","τελεσθῇ",1,2,"[{'id': 1241043, 'book_id': 'luk', 'chapter': '12', 'verse': '50', 'word_num': 15, 'word': 'it', 'occurrence': 1}, {'id': 1241044, 'book_id': 'luk', 'chapter': '12', 'verse': '50', 'word_num': 16, 'word': 'is', 'occurrence': 1}, {'id': 1241045, 'book_id': 'luk', 'chapter': '12', 'verse': '50', 'word_num': 17, 'word': 'completed', 'occurrence': 1}]","it is completed",3,"τελεσθῇ = it is completed",0.25,1,0,0
"570277","rev","20","3","24",",1555954,",",1370265,1370266,",0,"[{'id': 1555954, 'book_id': 'rev', 'chapter': '20', 'verse': '3', 'word_num': 19, 'word': 'τελεσθῇ', 'occurrence': 1, 'strong': 'G50550', 'lemma': 'τελέω', 'morph': 'Gr,V,SAP3,,S,'}]","τελεσθῇ",1,1,"[{'id': 1370265, 'book_id': 'rev', 'chapter': '20', 'verse': '3', 'word_num': 29, 'word': 'were', 'occurrence': 1}, {'id': 1370266, 'book_id': 'rev', 'chapter': '20', 'verse': '3', 'word_num': 30, 'word': 'completed', 'occurrence': 1}]","were completed",2,"τελεσθῇ = were completed",0.25,1,0,0
"570349","rev","20","5","11",",1556030,",",1370362,1370363,",0,"[{'id': 1556030, 'book_id': 'rev', 'chapter': '20', 'verse': '5', 'word_num': 7, 'word': 'τελεσθῇ', 'occurrence': 1, 'strong': 'G50550', 'lemma': 'τελέω', 'morph': 'Gr,V,SAP3,,S,'}]","τελεσθῇ",1,1,"[{'id': 1370362, 'book_id': 'rev', 'chapter': '20', 'verse': '5', 'word_num': 14, 'word': 'were', 'occurrence': 1}, {'id': 1370363, 'book_id': 'rev', 'chapter': '20', 'verse': '5', 'word_num': 15, 'word': 'ended', 'occurrence': 1}]","were ended",2,"τελεσθῇ = were ended",0.25,1,0,0
"570388","rev","20","7","5",",1556075,",",1370415,1370416,",0,"[{'id': 1556075, 'book_id': 'rev', 'chapter': '20', 'verse': '7', 'word_num': 2, 'word': 'τελεσθῇ', 'occurrence': 1, 'strong': 'G50550', 'lemma': 'τελέω', 'morph': 'Gr,V,SAP3,,S,'}]","τελεσθῇ",1,1,"[{'id': 1370415, 'book_id': 'rev', 'chapter': '20', 'verse': '7', 'word_num': 5, 'word': 'are', 'occurrence': 1}, {'id': 1370416, 'book_id': 'rev', 'chapter': '20', 'verse': '7', 'word_num': 6, 'word': 'competed', 'occurrence': 1}]","are competed",2,"τελεσθῇ = are competed",0.25,1,0,0
"482661","luk","18","31","22",",1463595,",",1246052,1246053,1246054,",0,"[{'id': 1463595, 'book_id': 'luk', 'chapter': '18', 'verse': '31', 'word_num': 12, 'word': 'τελεσθήσεται', 'occurrence': 1, 'strong': 'G50550', 'lemma': 'τελέω', 'morph': 'Gr,V,IFP3,,S,'}]","τελεσθήσεται",1,2,"[{'id': 1246052, 'book_id': 'luk', 'chapter': '18', 'verse': '31', 'word_num': 33, 'word': 'will', 'occurrence': 1}, {'id': 1246053, 'book_id': 'luk', 'chapter': '18', 'verse': '31', 'word_num': 34, 'word': 'be', 'occurrence': 1}, {'id': 1246054, 'book_id': 'luk', 'chapter': '18', 'verse': '31', 'word_num': 35, 'word': 'accomplished', 'occurrence': 1}]","will be accomplished",3,"τελεσθήσεται = will be accomplished",1.0,1,0,0
"485374","luk","22","37","7",",1466340,",",1249865,1249866,",0,"[{'id': 1466340, 'book_id': 'luk', 'chapter': '22', 'verse': '37', 'word_num': 8, 'word': 'τελεσθῆναι', 'occurrence': 1, 'strong': 'G50550', 'lemma': 'τελέω', 'morph': 'Gr,V,NAP,,,,,'}]","τελεσθῆναι",1,1,"[{'id': 1249865, 'book_id': 'luk', 'chapter': '22', 'verse': '37', 'word_num': 10, 'word': 'be', 'occurrence': 1}, {'id': 1249866, 'book_id': 'luk', 'chapter': '22', 'verse': '37', 'word_num': 11, 'word': 'fulfilled', 'occurrence': 1}]","be fulfilled",2,"τελεσθῆναι = be fulfilled",1.0,1,0,0
"500600","jhn","19","28","5",",1482725,",",1270556,",0,"[{'id': 1482725, 'book_id': 'jhn', 'chapter': '19', 'verse': '28', 'word_num': 8, 'word': 'τετέλεσται', 'occurrence': 1, 'strong': 'G50550', 'lemma': 'τελέω', 'morph': 'Gr,V,IEP3,,S,'}]","τετέλεσται",1,0,"[{'id': 1270556, 'book_id': 'jhn', 'chapter': '19', 'verse': '28', 'word_num': 5, 'word': 'was', 'occurrence': 1}]","was",1,"τετέλεσται = was",0.5,1,0,0
"500633","jhn","19","30","7",",1482754,",",1270612,1270613,1270614,",0,"[{'id': 1482754, 'book_id': 'jhn', 'chapter': '19', 'verse': '30', 'word_num': 7, 'word': 'τετέλεσται', 'occurrence': 1, 'strong': 'G50550', 'lemma': 'τελέω', 'morph': 'Gr,V,IEP3,,S,'}]","τετέλεσται",1,2,"[{'id': 1270612, 'book_id': 'jhn', 'chapter': '19', 'verse': '30', 'word_num': 10, 'word': 'It', 'occurrence': 1}, {'id': 1270613, 'book_id': 'jhn', 'chapter': '19', 'verse': '30', 'word_num': 11, 'word': 'is', 'occurrence': 1}, {'id': 1270614, 'book_id': 'jhn', 'chapter': '19', 'verse': '30', 'word_num': 12, 'word': 'finished', 'occurrence': 1}]","It is finished",3,"τετέλεσται = It is finished",0.5,1,0,0
