"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"136067","act","1","3","7",",769764,",",753197,",0,"[{'id': 769764, 'book_id': 'act', 'chapter': '1', 'verse': '3', 'word_num': 8, 'word': 'αὐτὸν', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3AMS,'}]","αὐτὸν",1,0,"[{'id': 753197, 'book_id': 'act', 'chapter': '1', 'verse': '3', 'word_num': 1, 'word': 'his', 'occurrence': 1}]","his",1,"αὐτὸν = his",0.0035810205908683975,0,0
"136075","act","1","3","15",",769772,",",753215,753216,",0,"[{'id': 769772, 'book_id': 'act', 'chapter': '1', 'verse': '3', 'word_num': 16, 'word': 'αὐτοῖς', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3DMP,'}]","αὐτοῖς",1,1,"[{'id': 753215, 'book_id': 'act', 'chapter': '1', 'verse': '3', 'word_num': 19, 'word': 'to', 'occurrence': 2}, {'id': 753216, 'book_id': 'act', 'chapter': '1', 'verse': '3', 'word_num': 20, 'word': 'them', 'occurrence': 2}]","to them",2,"αὐτοῖς = to them",0.025067144136078783,0,0
"136086","act","1","4","3",",769784,",",753235,",0,"[{'id': 769784, 'book_id': 'act', 'chapter': '1', 'verse': '4', 'word_num': 3, 'word': 'αὐτοῖς', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3DMP,'}]","αὐτοῖς",1,0,"[{'id': 753235, 'book_id': 'act', 'chapter': '1', 'verse': '4', 'word_num': 9, 'word': 'them', 'occurrence': 2}]","them",1,"αὐτοῖς = them",0.03581020590868397,0,0
"136119","act","1","6","5",",769819,",",753280,",0,"[{'id': 769819, 'book_id': 'act', 'chapter': '1', 'verse': '6', 'word_num': 5, 'word': 'αὐτὸν', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3AMS,'}]","αὐτὸν",1,0,"[{'id': 753280, 'book_id': 'act', 'chapter': '1', 'verse': '6', 'word_num': 8, 'word': 'him', 'occurrence': 1}]","him",1,"αὐτὸν = him",0.10295434198746643,0,0
"136134","act","1","7","3",",769835,",",753297,",0,"[{'id': 769835, 'book_id': 'act', 'chapter': '1', 'verse': '7', 'word_num': 3, 'word': 'αὐτούς', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3AMP,'}]","αὐτούς",1,0,"[{'id': 753297, 'book_id': 'act', 'chapter': '1', 'verse': '7', 'word_num': 4, 'word': 'them', 'occurrence': 1}]","them",1,"αὐτούς = them",0.03491495076096687,0,0
"136179","act","1","9","4",",769883,",",753360,",0,"[{'id': 769883, 'book_id': 'act', 'chapter': '1', 'verse': '9', 'word_num': 4, 'word': 'αὐτῶν', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3GMP,'}]","αὐτῶν",1,0,"[{'id': 753360, 'book_id': 'act', 'chapter': '1', 'verse': '9', 'word_num': 7, 'word': 'they', 'occurrence': 1}]","they",1,"αὐτῶν = they",0.008952551477170993,0,0
"136184","act","1","9","9",",769888,",",753372,",0,"[{'id': 769888, 'book_id': 'act', 'chapter': '1', 'verse': '9', 'word_num': 9, 'word': 'αὐτὸν', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3AMS,'}]","αὐτὸν",1,0,"[{'id': 753372, 'book_id': 'act', 'chapter': '1', 'verse': '9', 'word_num': 19, 'word': 'him', 'occurrence': 1}]","him",1,"αὐτὸν = him",0.10295434198746643,0,0
"136187","act","1","9","12",",769892,",",753374,",0,"[{'id': 769892, 'book_id': 'act', 'chapter': '1', 'verse': '9', 'word_num': 13, 'word': 'αὐτῶν', 'occurrence': 2, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3GMP,'}]","αὐτῶν",1,0,"[{'id': 753374, 'book_id': 'act', 'chapter': '1', 'verse': '9', 'word_num': 21, 'word': 'their', 'occurrence': 1}]","their",1,"αὐτῶν = their",0.04118173679498657,0,0
"136194","act","1","10","7",",769901,",",753384,",0,"[{'id': 769901, 'book_id': 'act', 'chapter': '1', 'verse': '10', 'word_num': 8, 'word': 'αὐτοῦ', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3GMS,'}]","αὐτοῦ",1,0,"[{'id': 753384, 'book_id': 'act', 'chapter': '1', 'verse': '10', 'word_num': 8, 'word': 'he', 'occurrence': 1}]","he",1,"αὐτοῦ = he",0.012533572068039392,0,0
"136199","act","1","10","13",",769907,",",753393,",0,"[{'id': 769907, 'book_id': 'act', 'chapter': '1', 'verse': '10', 'word_num': 14, 'word': 'αὐτοῖς', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3DMP,'}]","αὐτοῖς",1,0,"[{'id': 753393, 'book_id': 'act', 'chapter': '1', 'verse': '10', 'word_num': 17, 'word': 'them', 'occurrence': 1}]","them",1,"αὐτοῖς = them",0.03581020590868397,0,0
