"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"463216","mrk","9","5","14",",1443257,",",1218872,",0,"[{'id': 1443257, 'book_id': 'mrk', 'chapter': '9', 'verse': '5', 'word_num': 16, 'word': 'σκηνάς', 'occurrence': 1, 'strong': 'G46330', 'lemma': 'σκηνή', 'morph': 'Gr,N,,,,,AFP,'}]","σκηνάς",1,0,"[{'id': 1218872, 'book_id': 'mrk', 'chapter': '9', 'verse': '5', 'word_num': 22, 'word': 'shelters', 'occurrence': 1}]","shelters",1,"σκηνάς = shelters",0.5,1,0,0
"481174","luk","16","9","19",",1462090,",",1243980,",0,"[{'id': 1462090, 'book_id': 'luk', 'chapter': '16', 'verse': '9', 'word_num': 20, 'word': 'σκηνάς', 'occurrence': 1, 'strong': 'G46330', 'lemma': 'σκηνή', 'morph': 'Gr,N,,,,,AFP,'}]","σκηνάς",1,0,"[{'id': 1243980, 'book_id': 'luk', 'chapter': '16', 'verse': '9', 'word_num': 26, 'word': 'dwellings', 'occurrence': 1}]","dwellings",1,"σκηνάς = dwellings",0.5,1,0,0
"475934","luk","9","33","20",",1456733,",",1236863,",0,"[{'id': 1456733, 'book_id': 'luk', 'chapter': '9', 'verse': '33', 'word_num': 22, 'word': 'σκηνὰς', 'occurrence': 1, 'strong': 'G46330', 'lemma': 'σκηνή', 'morph': 'Gr,N,,,,,AFP,'}]","σκηνὰς",1,0,"[{'id': 1236863, 'book_id': 'luk', 'chapter': '9', 'verse': '33', 'word_num': 29, 'word': 'tents', 'occurrence': 1}]","tents",1,"σκηνὰς = tents",1.0,1,0,0
"506202","act","7","43","2",",1488553,",",1278077,",0,"[{'id': 1488553, 'book_id': 'act', 'chapter': '7', 'verse': '43', 'word_num': 3, 'word': 'σκηνὴν', 'occurrence': 1, 'strong': 'G46330', 'lemma': 'σκηνή', 'morph': 'Gr,N,,,,,AFS,'}]","σκηνὴν",1,0,"[{'id': 1278077, 'book_id': 'act', 'chapter': '7', 'verse': '43', 'word_num': 4, 'word': 'tabernacle', 'occurrence': 1}]","tabernacle",1,"σκηνὴν = tabernacle",0.4,2,0,0
"511425","act","15","16","6",",1493909,",",1285113,",0,"[{'id': 1493909, 'book_id': 'act', 'chapter': '15', 'verse': '16', 'word_num': 6, 'word': 'σκηνὴν', 'occurrence': 1, 'strong': 'G46330', 'lemma': 'σκηνή', 'morph': 'Gr,N,,,,,AFS,'}]","σκηνὴν",1,0,"[{'id': 1285113, 'book_id': 'act', 'chapter': '15', 'verse': '16', 'word_num': 11, 'word': 'tent', 'occurrence': 1}]","tent",1,"σκηνὴν = tent",0.2,1,0,0
"553346","heb","9","6","12",",1537511,",",1345827,1345828,1345829,1345830,",0,"[{'id': 1537511, 'book_id': 'heb', 'chapter': '9', 'verse': '6', 'word_num': 8, 'word': 'σκηνὴν', 'occurrence': 1, 'strong': 'G46330', 'lemma': 'σκηνή', 'morph': 'Gr,N,,,,,AFS,'}]","σκηνὴν",1,3,"[{'id': 1345827, 'book_id': 'heb', 'chapter': '9', 'verse': '6', 'word_num': 13, 'word': 'room', 'occurrence': 1}, {'id': 1345828, 'book_id': 'heb', 'chapter': '9', 'verse': '6', 'word_num': 14, 'word': 'of', 'occurrence': 1}, {'id': 1345829, 'book_id': 'heb', 'chapter': '9', 'verse': '6', 'word_num': 15, 'word': 'the', 'occurrence': 3}, {'id': 1345830, 'book_id': 'heb', 'chapter': '9', 'verse': '6', 'word_num': 16, 'word': 'tabernacle', 'occurrence': 1}]","room of the tabernacle",4,"σκηνὴν = room of the tabernacle",0.2,1,0,0
"553616","heb","9","21","6",",1537784,",",1346227,",0,"[{'id': 1537784, 'book_id': 'heb', 'chapter': '9', 'verse': '21', 'word_num': 2, 'word': 'σκηνὴν', 'occurrence': 1, 'strong': 'G46330', 'lemma': 'σκηνή', 'morph': 'Gr,N,,,,,AFS,'}]","σκηνὴν",1,0,"[{'id': 1346227, 'book_id': 'heb', 'chapter': '9', 'verse': '21', 'word_num': 11, 'word': 'tabernacle', 'occurrence': 1}]","tabernacle",1,"σκηνὴν = tabernacle",0.4,2,0,0
"567417","rev","13","6","12",",1552779,",",1366438,1366439,",0,"[{'id': 1552779, 'book_id': 'rev', 'chapter': '13', 'verse': '6', 'word_num': 16, 'word': 'σκηνὴν', 'occurrence': 1, 'strong': 'G46330', 'lemma': 'σκηνή', 'morph': 'Gr,N,,,,,AFS,'}]","σκηνὴν",1,1,"[{'id': 1366438, 'book_id': 'rev', 'chapter': '13', 'verse': '6', 'word_num': 15, 'word': 'place', 'occurrence': 1}, {'id': 1366439, 'book_id': 'rev', 'chapter': '13', 'verse': '6', 'word_num': 16, 'word': 'where', 'occurrence': 1}]","place where",2,"σκηνὴν = place where",0.2,1,0,0
"506225","act","7","44","1",",1488575,",",1278105,",0,"[{'id': 1488575, 'book_id': 'act', 'chapter': '7', 'verse': '44', 'word_num': 1, 'word': 'σκηνὴ', 'occurrence': 1, 'strong': 'G46330', 'lemma': 'σκηνή', 'morph': 'Gr,N,,,,,NFS,'}]","σκηνὴ",1,0,"[{'id': 1278105, 'book_id': 'act', 'chapter': '7', 'verse': '44', 'word_num': 1, 'word': 'tabernacle', 'occurrence': 1}]","tabernacle",1,"σκηνὴ = tabernacle",0.5,2,0,0
"553266","heb","9","2","1",",1537427,",",1345710,1345711,",0,"[{'id': 1537427, 'book_id': 'heb', 'chapter': '9', 'verse': '2', 'word_num': 0, 'word': 'σκηνὴ', 'occurrence': 1, 'strong': 'G46330', 'lemma': 'σκηνή', 'morph': 'Gr,N,,,,,NFS,'}]","σκηνὴ",1,1,"[{'id': 1345710, 'book_id': 'heb', 'chapter': '9', 'verse': '2', 'word_num': 1, 'word': 'a', 'occurrence': 1}, {'id': 1345711, 'book_id': 'heb', 'chapter': '9', 'verse': '2', 'word_num': 2, 'word': 'tabernacle', 'occurrence': 1}]","a tabernacle",2,"σκηνὴ = a tabernacle",0.25,1,0,0
