"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"465132","mrk","11","25","19",",1445355,1445356,",",1221674,",1,"[{'id': 1445355, 'book_id': 'mrk', 'chapter': '11', 'verse': '25', 'word_num': 21, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 1445356, 'book_id': 'mrk', 'chapter': '11', 'verse': '25', 'word_num': 22, 'word': 'παραπτώματα', 'occurrence': 1, 'strong': 'G39000', 'lemma': 'παράπτωμα', 'morph': 'Gr,N,,,,,ANP,'}]","τὰ παραπτώματα",2,0,"[{'id': 1221674, 'book_id': 'mrk', 'chapter': '11', 'verse': '25', 'word_num': 26, 'word': 'trespasses', 'occurrence': 1}]","trespasses",1,"τὰ παραπτώματα = trespasses",0.1111111111111111,3,0,0
"481583","luk","17","1","9",",1462508,",",1244553,1244554,",0,"[{'id': 1462508, 'book_id': 'luk', 'chapter': '17', 'verse': '1', 'word_num': 10, 'word': 'σκάνδαλα', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,ANP,'}]","σκάνδαλα",1,1,"[{'id': 1244553, 'book_id': 'luk', 'chapter': '17', 'verse': '1', 'word_num': 11, 'word': 'stumbling', 'occurrence': 1}, {'id': 1244554, 'book_id': 'luk', 'chapter': '17', 'verse': '1', 'word_num': 12, 'word': 'blocks', 'occurrence': 1}]","stumbling blocks",2,"σκάνδαλα = stumbling blocks",0.037037037037037035,1,0,0
"521539","rom","4","25","4",",1504441,1504442,",",1299414,",1,"[{'id': 1504441, 'book_id': 'rom', 'chapter': '4', 'verse': '25', 'word_num': 3, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 1504442, 'book_id': 'rom', 'chapter': '4', 'verse': '25', 'word_num': 4, 'word': 'παραπτώματα', 'occurrence': 1, 'strong': 'G39000', 'lemma': 'παράπτωμα', 'morph': 'Gr,N,,,,,ANP,'}]","τὰ παραπτώματα",2,0,"[{'id': 1299414, 'book_id': 'rom', 'chapter': '4', 'verse': '25', 'word_num': 10, 'word': 'trespasses', 'occurrence': 1}]","trespasses",1,"τὰ παραπτώματα = trespasses",0.1111111111111111,3,0,0
"521774","rom","5","15","7",",1504706,",",1299723,",0,"[{'id': 1504706, 'book_id': 'rom', 'chapter': '5', 'verse': '15', 'word_num': 4, 'word': 'παράπτωμα', 'occurrence': 1, 'strong': 'G39000', 'lemma': 'παράπτωμα', 'morph': 'Gr,N,,,,,NNS,'}]","παράπτωμα",1,0,"[{'id': 1299723, 'book_id': 'rom', 'chapter': '5', 'verse': '15', 'word_num': 7, 'word': 'trespass', 'occurrence': 1}]","trespass",1,"παράπτωμα = trespass",0.07407407407407407,2,0,0
"521779","rom","5","15","12",",1504716,",",1299728,",0,"[{'id': 1504716, 'book_id': 'rom', 'chapter': '5', 'verse': '15', 'word_num': 14, 'word': 'παραπτώματι', 'occurrence': 1, 'strong': 'G39000', 'lemma': 'παράπτωμα', 'morph': 'Gr,N,,,,,DNS,'}]","παραπτώματι",1,0,"[{'id': 1299728, 'book_id': 'rom', 'chapter': '5', 'verse': '15', 'word_num': 12, 'word': 'trespass', 'occurrence': 2}]","trespass",1,"παραπτώματι = trespass",0.1111111111111111,3,0,0
"521823","rom","5","16","19",",1504762,",",1299787,",0,"[{'id': 1504762, 'book_id': 'rom', 'chapter': '5', 'verse': '16', 'word_num': 21, 'word': 'παραπτωμάτων', 'occurrence': 1, 'strong': 'G39000', 'lemma': 'παράπτωμα', 'morph': 'Gr,N,,,,,GNP,'}]","παραπτωμάτων",1,0,"[{'id': 1299787, 'book_id': 'rom', 'chapter': '5', 'verse': '16', 'word_num': 29, 'word': 'trespasses', 'occurrence': 1}]","trespasses",1,"παραπτωμάτων = trespasses",0.07407407407407407,2,0,0
"521829","rom","5","17","3",",1504770,",",1299795,",0,"[{'id': 1504770, 'book_id': 'rom', 'chapter': '5', 'verse': '17', 'word_num': 5, 'word': 'παραπτώματι', 'occurrence': 1, 'strong': 'G39000', 'lemma': 'παράπτωμα', 'morph': 'Gr,N,,,,,DNS,'}]","παραπτώματι",1,0,"[{'id': 1299795, 'book_id': 'rom', 'chapter': '5', 'verse': '17', 'word_num': 4, 'word': 'trespass', 'occurrence': 1}]","trespass",1,"παραπτώματι = trespass",0.1111111111111111,3,0,0
"521861","rom","5","18","4",",1504803,",",1299832,",0,"[{'id': 1504803, 'book_id': 'rom', 'chapter': '5', 'verse': '18', 'word_num': 5, 'word': 'παραπτώματος', 'occurrence': 1, 'strong': 'G39000', 'lemma': 'παράπτωμα', 'morph': 'Gr,N,,,,,GNS,'}]","παραπτώματος",1,0,"[{'id': 1299832, 'book_id': 'rom', 'chapter': '5', 'verse': '18', 'word_num': 4, 'word': 'trespass', 'occurrence': 1}]","trespass",1,"παραπτώματος = trespass",0.037037037037037035,1,0,0
"521904","rom","5","20","6",",1504849,",",1299887,",0,"[{'id': 1504849, 'book_id': 'rom', 'chapter': '5', 'verse': '20', 'word_num': 6, 'word': 'παράπτωμα', 'occurrence': 1, 'strong': 'G39000', 'lemma': 'παράπτωμα', 'morph': 'Gr,N,,,,,NNS,'}]","παράπτωμα",1,0,"[{'id': 1299887, 'book_id': 'rom', 'chapter': '5', 'verse': '20', 'word_num': 8, 'word': 'trespass', 'occurrence': 1}]","trespass",1,"παράπτωμα = trespass",0.07407407407407407,2,0,0
"523809","rom","9","33","10",",1506888,",",1302864,1302865,",0,"[{'id': 1506888, 'book_id': 'rom', 'chapter': '9', 'verse': '33', 'word_num': 10, 'word': 'σκανδάλου', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,GNS,'}]","σκανδάλου",1,1,"[{'id': 1302864, 'book_id': 'rom', 'chapter': '9', 'verse': '33', 'word_num': 18, 'word': 'of', 'occurrence': 2}, {'id': 1302865, 'book_id': 'rom', 'chapter': '9', 'verse': '33', 'word_num': 19, 'word': 'offense', 'occurrence': 1}]","of offense",2,"σκανδάλου = of offense",0.037037037037037035,1,0,0
"524272","rom","11","9","11",",1507388,1507389,",",1303541,1303542,1303543,",1,"[{'id': 1507388, 'book_id': 'rom', 'chapter': '11', 'verse': '9', 'word_num': 13, 'word': 'εἰς', 'occurrence': 3, 'strong': 'G15190', 'lemma': 'εἰς', 'morph': 'Gr,P,,,,,A,,,'}, {'id': 1507389, 'book_id': 'rom', 'chapter': '11', 'verse': '9', 'word_num': 14, 'word': 'σκάνδαλον', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,ANS,'}]","εἰς σκάνδαλον",2,2,"[{'id': 1303541, 'book_id': 'rom', 'chapter': '11', 'verse': '9', 'word_num': 13, 'word': 'a', 'occurrence': 3}, {'id': 1303542, 'book_id': 'rom', 'chapter': '11', 'verse': '9', 'word_num': 14, 'word': 'stumbling', 'occurrence': 1}, {'id': 1303543, 'book_id': 'rom', 'chapter': '11', 'verse': '9', 'word_num': 15, 'word': 'block', 'occurrence': 1}]","a stumbling block",3,"εἰς σκάνδαλον = a stumbling block",0.037037037037037035,1,0,0
"524297","rom","11","11","8",",1507419,",",1303582,",0,"[{'id': 1507419, 'book_id': 'rom', 'chapter': '11', 'verse': '11', 'word_num': 11, 'word': 'παραπτώματι', 'occurrence': 1, 'strong': 'G39000', 'lemma': 'παράπτωμα', 'morph': 'Gr,N,,,,,DNS,'}]","παραπτώματι",1,0,"[{'id': 1303582, 'book_id': 'rom', 'chapter': '11', 'verse': '11', 'word_num': 17, 'word': 'failure', 'occurrence': 1}]","failure",1,"παραπτώματι = failure",0.037037037037037035,1,0,0
"524308","rom","11","12","3",",1507430,1507431,",",1303599,",1,"[{'id': 1507430, 'book_id': 'rom', 'chapter': '11', 'verse': '12', 'word_num': 2, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNS,'}, {'id': 1507431, 'book_id': 'rom', 'chapter': '11', 'verse': '12', 'word_num': 3, 'word': 'παράπτωμα', 'occurrence': 1, 'strong': 'G39000', 'lemma': 'παράπτωμα', 'morph': 'Gr,N,,,,,NNS,'}]","τὸ παράπτωμα",2,0,"[{'id': 1303599, 'book_id': 'rom', 'chapter': '11', 'verse': '12', 'word_num': 3, 'word': 'failure', 'occurrence': 1}]","failure",1,"τὸ παράπτωμα = failure",0.037037037037037035,1,0,0
"525360","rom","14","13","13",",1508599,",",1305285,1305286,",0,"[{'id': 1508599, 'book_id': 'rom', 'chapter': '14', 'verse': '13', 'word_num': 15, 'word': 'σκάνδαλον', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,ANS,'}]","σκάνδαλον",1,1,"[{'id': 1305285, 'book_id': 'rom', 'chapter': '14', 'verse': '13', 'word_num': 21, 'word': 'a', 'occurrence': 2}, {'id': 1305286, 'book_id': 'rom', 'chapter': '14', 'verse': '13', 'word_num': 22, 'word': 'snare', 'occurrence': 1}]","a snare",2,"σκάνδαλον = a snare",0.037037037037037035,1,0,0
"526250","rom","16","17","9",",1509551,1509552,",",1306609,",1,"[{'id': 1509551, 'book_id': 'rom', 'chapter': '16', 'verse': '17', 'word_num': 9, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 1509552, 'book_id': 'rom', 'chapter': '16', 'verse': '17', 'word_num': 10, 'word': 'σκάνδαλα', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,ANP,'}]","τὰ σκάνδαλα",2,0,"[{'id': 1306609, 'book_id': 'rom', 'chapter': '16', 'verse': '17', 'word_num': 14, 'word': 'obstacles', 'occurrence': 1}]","obstacles",1,"τὰ σκάνδαλα = obstacles",0.037037037037037035,1,0,0
"526764","1co","1","23","5",",1510111,",",1307328,1307329,1307330,",0,"[{'id': 1510111, 'book_id': '1co', 'chapter': '1', 'verse': '23', 'word_num': 7, 'word': 'σκάνδαλον', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,ANS,'}]","σκάνδαλον",1,2,"[{'id': 1307328, 'book_id': '1co', 'chapter': '1', 'verse': '23', 'word_num': 5, 'word': 'a', 'occurrence': 1}, {'id': 1307329, 'book_id': '1co', 'chapter': '1', 'verse': '23', 'word_num': 6, 'word': 'stumbling', 'occurrence': 1}, {'id': 1307330, 'book_id': '1co', 'chapter': '1', 'verse': '23', 'word_num': 7, 'word': 'block', 'occurrence': 1}]","a stumbling block",3,"σκάνδαλον = a stumbling block",0.07407407407407407,2,0,0
"534659","2co","5","19","12",",1518251,1518252,",",1318912,",1,"[{'id': 1518251, 'book_id': '2co', 'chapter': '5', 'verse': '19', 'word_num': 12, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 1518252, 'book_id': '2co', 'chapter': '5', 'verse': '19', 'word_num': 13, 'word': 'παραπτώματα', 'occurrence': 1, 'strong': 'G39000', 'lemma': 'παράπτωμα', 'morph': 'Gr,N,,,,,ANP,'}]","τὰ παραπτώματα",2,0,"[{'id': 1318912, 'book_id': '2co', 'chapter': '5', 'verse': '19', 'word_num': 14, 'word': 'trespasses', 'occurrence': 1}]","trespasses",1,"τὰ παραπτώματα = trespasses",0.1111111111111111,3,0,0
"539084","gal","5","11","13",",1522809,",",1325596,1325597,",0,"[{'id': 1522809, 'book_id': 'gal', 'chapter': '5', 'verse': '11', 'word_num': 13, 'word': 'σκάνδαλον', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,NNS,'}]","σκάνδαλον",1,1,"[{'id': 1325596, 'book_id': 'gal', 'chapter': '5', 'verse': '11', 'word_num': 17, 'word': 'stumbling', 'occurrence': 1}, {'id': 1325597, 'book_id': 'gal', 'chapter': '5', 'verse': '11', 'word_num': 18, 'word': 'block', 'occurrence': 1}]","stumbling block",2,"σκάνδαλον = stumbling block",0.037037037037037035,1,0,0
"539276","gal","6","1","6",",1523004,",",1325882,",0,"[{'id': 1523004, 'book_id': 'gal', 'chapter': '6', 'verse': '1', 'word_num': 7, 'word': 'παραπτώματι', 'occurrence': 1, 'strong': 'G39000', 'lemma': 'παράπτωμα', 'morph': 'Gr,N,,,,,DNS,'}]","παραπτώματι",1,0,"[{'id': 1325882, 'book_id': 'gal', 'chapter': '6', 'verse': '1', 'word_num': 7, 'word': 'trespass', 'occurrence': 1}]","trespass",1,"παραπτώματι = trespass",0.1111111111111111,3,0,0
