"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"463630","mrk","9","32","4",",1443710,",",1219473,",0,"[{'id': 1443710, 'book_id': 'mrk', 'chapter': '9', 'verse': '32', 'word_num': 4, 'word': 'ῥῆμα', 'occurrence': 1, 'strong': 'G44870', 'lemma': 'ῥῆμα', 'morph': 'Gr,N,,,,,ANS,'}]","ῥῆμα",1,0,"[{'id': 1219473, 'book_id': 'mrk', 'chapter': '9', 'verse': '32', 'word_num': 6, 'word': 'statement', 'occurrence': 1}]","statement",1,"ῥῆμα = statement",0.031746031746031744,0,0
"467649","mrk","14","72","8",",1448083,",",1225248,",0,"[{'id': 1448083, 'book_id': 'mrk', 'chapter': '14', 'verse': '72', 'word_num': 11, 'word': 'ῥῆμα', 'occurrence': 1, 'strong': 'G44870', 'lemma': 'ῥῆμα', 'morph': 'Gr,N,,,,,ANS,'}]","ῥῆμα",1,0,"[{'id': 1225248, 'book_id': 'mrk', 'chapter': '14', 'verse': '72', 'word_num': 11, 'word': 'words', 'occurrence': 1}]","words",1,"ῥῆμα = words",0.015873015873015872,0,0
"469010","luk","1","37","1",",1449685,1449690,1449691,",",1227503,",6,"[{'id': 1449685, 'book_id': 'luk', 'chapter': '1', 'verse': '37', 'word_num': 1, 'word': 'οὐκ', 'occurrence': 1, 'strong': 'G37560', 'lemma': 'οὐ', 'morph': 'Gr,D,,,,,,,,,'}, {'id': 1449690, 'book_id': 'luk', 'chapter': '1', 'verse': '37', 'word_num': 6, 'word': 'πᾶν', 'occurrence': 1, 'strong': 'G39560', 'lemma': 'πᾶς', 'morph': 'Gr,EQ,,,,NNS,'}, {'id': 1449691, 'book_id': 'luk', 'chapter': '1', 'verse': '37', 'word_num': 7, 'word': 'ῥῆμα', 'occurrence': 1, 'strong': 'G44870', 'lemma': 'ῥῆμα', 'morph': 'Gr,N,,,,,NNS,'}]","οὐκ πᾶν ῥῆμα",3,0,"[{'id': 1227503, 'book_id': 'luk', 'chapter': '1', 'verse': '37', 'word_num': 1, 'word': 'nothing', 'occurrence': 1}]","nothing",1,"οὐκ πᾶν ῥῆμα = nothing",0.015873015873015872,4,0
"469025","luk","1","38","11",",1449702,1449703,",",1227529,",1,"[{'id': 1449702, 'book_id': 'luk', 'chapter': '1', 'verse': '38', 'word_num': 10, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1449703, 'book_id': 'luk', 'chapter': '1', 'verse': '38', 'word_num': 11, 'word': 'ῥῆμά', 'occurrence': 1, 'strong': 'G44870', 'lemma': 'ῥῆμα', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ ῥῆμά",2,0,"[{'id': 1227529, 'book_id': 'luk', 'chapter': '1', 'verse': '38', 'word_num': 20, 'word': 'word', 'occurrence': 1}]","word",1,"τὸ ῥῆμά = word",0.031746031746031744,0,0
"469365","luk","1","65","11",",1450076,1450077,",",1227986,",1,"[{'id': 1450076, 'book_id': 'luk', 'chapter': '1', 'verse': '65', 'word_num': 17, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNP,'}, {'id': 1450077, 'book_id': 'luk', 'chapter': '1', 'verse': '65', 'word_num': 18, 'word': 'ῥήματα', 'occurrence': 1, 'strong': 'G44870', 'lemma': 'ῥῆμα', 'morph': 'Gr,N,,,,,NNP,'}]","τὰ ῥήματα",2,0,"[{'id': 1227986, 'book_id': 'luk', 'chapter': '1', 'verse': '65', 'word_num': 13, 'word': 'matters', 'occurrence': 1}]","matters",1,"τὰ ῥήματα = matters",0.015873015873015872,0,0
"469776","luk","2","15","23",",1450494,1450495,",",1228576,",1,"[{'id': 1450494, 'book_id': 'luk', 'chapter': '2', 'verse': '15', 'word_num': 22, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1450495, 'book_id': 'luk', 'chapter': '2', 'verse': '15', 'word_num': 23, 'word': 'ῥῆμα', 'occurrence': 1, 'strong': 'G44870', 'lemma': 'ῥῆμα', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ ῥῆμα",2,0,"[{'id': 1228576, 'book_id': 'luk', 'chapter': '2', 'verse': '15', 'word_num': 33, 'word': 'thing', 'occurrence': 1}]","thing",1,"τὸ ῥῆμα = thing",0.015873015873015872,0,0
"469804","luk","2","17","5",",1450527,",",1228618,",0,"[{'id': 1450527, 'book_id': 'luk', 'chapter': '2', 'verse': '17', 'word_num': 5, 'word': 'ῥήματος', 'occurrence': 1, 'strong': 'G44870', 'lemma': 'ῥῆμα', 'morph': 'Gr,N,,,,,GNS,'}]","ῥήματος",1,0,"[{'id': 1228618, 'book_id': 'luk', 'chapter': '2', 'verse': '17', 'word_num': 11, 'word': 'message', 'occurrence': 1}]","message",1,"ῥήματος = message",0.015873015873015872,0,0
"469829","luk","2","19","5",",1450553,1450554,",",1228652,",1,"[{'id': 1450553, 'book_id': 'luk', 'chapter': '2', 'verse': '19', 'word_num': 5, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 1450554, 'book_id': 'luk', 'chapter': '2', 'verse': '19', 'word_num': 6, 'word': 'ῥήματα', 'occurrence': 1, 'strong': 'G44870', 'lemma': 'ῥῆμα', 'morph': 'Gr,N,,,,,ANP,'}]","τὰ ῥήματα",2,0,"[{'id': 1228652, 'book_id': 'luk', 'chapter': '2', 'verse': '19', 'word_num': 5, 'word': 'things', 'occurrence': 1}]","things",1,"τὰ ῥήματα = things",0.031746031746031744,0,0
"470016","luk","2","29","10",",1450747,1450748,",",1228901,",1,"[{'id': 1450747, 'book_id': 'luk', 'chapter': '2', 'verse': '29', 'word_num': 7, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1450748, 'book_id': 'luk', 'chapter': '2', 'verse': '29', 'word_num': 8, 'word': 'ῥῆμά', 'occurrence': 1, 'strong': 'G44870', 'lemma': 'ῥῆμα', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ ῥῆμά",2,0,"[{'id': 1228901, 'book_id': 'luk', 'chapter': '2', 'verse': '29', 'word_num': 11, 'word': 'word', 'occurrence': 1}]","word",1,"τὸ ῥῆμά = word",0.031746031746031744,0,0
"470334","luk","2","50","5",",1451075,",",1229325,",0,"[{'id': 1451075, 'book_id': 'luk', 'chapter': '2', 'verse': '50', 'word_num': 5, 'word': 'ῥῆμα', 'occurrence': 1, 'strong': 'G44870', 'lemma': 'ῥῆμα', 'morph': 'Gr,N,,,,,ANS,'}]","ῥῆμα",1,0,"[{'id': 1229325, 'book_id': 'luk', 'chapter': '2', 'verse': '50', 'word_num': 6, 'word': 'word', 'occurrence': 1}]","word",1,"ῥῆμα = word",0.07936507936507936,0,0
