"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"465921","mrk","12","40","12",",1446221,",",1222773,",0,"[{'id': 1446221, 'book_id': 'mrk', 'chapter': '12', 'verse': '40', 'word_num': 13, 'word': 'κρίμα', 'occurrence': 1, 'strong': 'G29170', 'lemma': 'κρίμα', 'morph': 'Gr,N,,,,,ANS,'}]","κρίμα",1,0,"[{'id': 1222773, 'book_id': 'mrk', 'chapter': '12', 'verse': '40', 'word_num': 18, 'word': 'condemnation', 'occurrence': 1}]","condemnation",1,"κρίμα = condemnation",0.19047619047619047,4,0,0
"484251","luk","20","47","13",",1465200,",",1248294,",0,"[{'id': 1465200, 'book_id': 'luk', 'chapter': '20', 'verse': '47', 'word_num': 13, 'word': 'κρίμα', 'occurrence': 1, 'strong': 'G29170', 'lemma': 'κρίμα', 'morph': 'Gr,N,,,,,ANS,'}]","κρίμα",1,0,"[{'id': 1248294, 'book_id': 'luk', 'chapter': '20', 'verse': '47', 'word_num': 18, 'word': 'condemnation', 'occurrence': 1}]","condemnation",1,"κρίμα = condemnation",0.19047619047619047,4,0,0
"487044","luk","24","20","11",",1468024,",",1252050,1252051,",0,"[{'id': 1468024, 'book_id': 'luk', 'chapter': '24', 'verse': '20', 'word_num': 11, 'word': 'κρίμα', 'occurrence': 1, 'strong': 'G29170', 'lemma': 'κρίμα', 'morph': 'Gr,N,,,,,ANS,'}]","κρίμα",1,1,"[{'id': 1252050, 'book_id': 'luk', 'chapter': '24', 'verse': '20', 'word_num': 12, 'word': 'be', 'occurrence': 1}, {'id': 1252051, 'book_id': 'luk', 'chapter': '24', 'verse': '20', 'word_num': 13, 'word': 'condemned', 'occurrence': 1}]","be condemned",2,"κρίμα = be condemned",0.047619047619047616,1,0,0
"494299","jhn","9","39","3",",1475991,",",1261906,",0,"[{'id': 1475991, 'book_id': 'jhn', 'chapter': '9', 'verse': '39', 'word_num': 5, 'word': 'κρίμα', 'occurrence': 1, 'strong': 'G29170', 'lemma': 'κρίμα', 'morph': 'Gr,N,,,,,ANS,'}]","κρίμα",1,0,"[{'id': 1261906, 'book_id': 'jhn', 'chapter': '9', 'verse': '39', 'word_num': 3, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίμα = judgment",0.38095238095238093,8,0,0
"520427","rom","2","2","4",",1503197,1503198,",",1297602,",1,"[{'id': 1503197, 'book_id': 'rom', 'chapter': '2', 'verse': '2', 'word_num': 3, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNS,'}, {'id': 1503198, 'book_id': 'rom', 'chapter': '2', 'verse': '2', 'word_num': 4, 'word': 'κρίμα', 'occurrence': 1, 'strong': 'G29170', 'lemma': 'κρίμα', 'morph': 'Gr,N,,,,,NNS,'}]","τὸ κρίμα",2,0,"[{'id': 1297602, 'book_id': 'rom', 'chapter': '2', 'verse': '2', 'word_num': 6, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"τὸ κρίμα = judgment",0.09523809523809523,2,0,0
"520450","rom","2","3","15",",1503227,",",1297639,",0,"[{'id': 1503227, 'book_id': 'rom', 'chapter': '2', 'verse': '3', 'word_num': 18, 'word': 'κρίμα', 'occurrence': 1, 'strong': 'G29170', 'lemma': 'κρίμα', 'morph': 'Gr,N,,,,,ANS,'}]","κρίμα",1,0,"[{'id': 1297639, 'book_id': 'rom', 'chapter': '2', 'verse': '3', 'word_num': 23, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίμα = judgment",0.38095238095238093,8,0,0
"520918","rom","3","8","15",",1503757,",",1298418,",0,"[{'id': 1503757, 'book_id': 'rom', 'chapter': '3', 'verse': '8', 'word_num': 20, 'word': 'κρίμα', 'occurrence': 1, 'strong': 'G29170', 'lemma': 'κρίμα', 'morph': 'Gr,N,,,,,NNS,'}]","κρίμα",1,0,"[{'id': 1298418, 'book_id': 'rom', 'chapter': '3', 'verse': '8', 'word_num': 27, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίμα = judgment",0.38095238095238093,8,0,0
"521813","rom","5","16","9",",1504752,",",1299775,",0,"[{'id': 1504752, 'book_id': 'rom', 'chapter': '5', 'verse': '16', 'word_num': 11, 'word': 'κρίμα', 'occurrence': 1, 'strong': 'G29170', 'lemma': 'κρίμα', 'morph': 'Gr,N,,,,,NNS,'}]","κρίμα",1,0,"[{'id': 1299775, 'book_id': 'rom', 'chapter': '5', 'verse': '16', 'word_num': 17, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίμα = judgment",0.38095238095238093,8,0,0
"524962","rom","13","2","12",",1508152,",",1304639,",0,"[{'id': 1508152, 'book_id': 'rom', 'chapter': '13', 'verse': '2', 'word_num': 14, 'word': 'κρίμα', 'occurrence': 1, 'strong': 'G29170', 'lemma': 'κρίμα', 'morph': 'Gr,N,,,,,ANS,'}]","κρίμα",1,0,"[{'id': 1304639, 'book_id': 'rom', 'chapter': '13', 'verse': '2', 'word_num': 18, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίμα = judgment",0.38095238095238093,8,0,0
"530605","1co","11","29","12",",1514064,",",1313045,",0,"[{'id': 1514064, 'book_id': '1co', 'chapter': '11', 'verse': '29', 'word_num': 5, 'word': 'κρίμα', 'occurrence': 1, 'strong': 'G29170', 'lemma': 'κρίμα', 'morph': 'Gr,N,,,,,ANS,'}]","κρίμα",1,0,"[{'id': 1313045, 'book_id': '1co', 'chapter': '11', 'verse': '29', 'word_num': 13, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίμα = judgment",0.38095238095238093,8,0,0
