"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"463207","mrk","9","5","5",",1443248,",",1218857,",0,"[{'id': 1443248, 'book_id': 'mrk', 'chapter': '9', 'verse': '5', 'word_num': 7, 'word': 'Ῥαββεί', 'occurrence': 1, 'strong': 'G44610', 'lemma': 'ῥαββεί', 'morph': 'Gr,N,,,,,VMSI'}]","Ῥαββεί",1,0,"[{'id': 1218857, 'book_id': 'mrk', 'chapter': '9', 'verse': '5', 'word_num': 7, 'word': 'Rabbi', 'occurrence': 1}]","Rabbi",1,"Ῥαββεί = Rabbi",1.0,0,0
"465057","mrk","11","21","4",",1445272,",",1221565,",0,"[{'id': 1445272, 'book_id': 'mrk', 'chapter': '11', 'verse': '21', 'word_num': 6, 'word': 'Ῥαββεί', 'occurrence': 1, 'strong': 'G44610', 'lemma': 'ῥαββεί', 'morph': 'Gr,N,,,,,VMSI'}]","Ῥαββεί",1,0,"[{'id': 1221565, 'book_id': 'mrk', 'chapter': '11', 'verse': '21', 'word_num': 6, 'word': 'Rabbi', 'occurrence': 1}]","Rabbi",1,"Ῥαββεί = Rabbi",1.0,0,0
"467258","mrk","14","45","6",",1447664,",",1224699,",0,"[{'id': 1447664, 'book_id': 'mrk', 'chapter': '14', 'verse': '45', 'word_num': 6, 'word': 'Ῥαββεί', 'occurrence': 1, 'strong': 'G44610', 'lemma': 'ῥαββεί', 'morph': 'Gr,N,,,,,VMSI'}]","Ῥαββεί",1,0,"[{'id': 1224699, 'book_id': 'mrk', 'chapter': '14', 'verse': '45', 'word_num': 12, 'word': 'Rabbi', 'occurrence': 1}]","Rabbi",1,"Ῥαββεί = Rabbi",1.0,0,0
"488073","jhn","1","38","15",",1469101,",",1253420,",0,"[{'id': 1469101, 'book_id': 'jhn', 'chapter': '1', 'verse': '38', 'word_num': 16, 'word': 'Ῥαββεί', 'occurrence': 1, 'strong': 'G44610', 'lemma': 'ῥαββεί', 'morph': 'Gr,N,,,,,VMSI'}]","Ῥαββεί",1,0,"[{'id': 1253420, 'book_id': 'jhn', 'chapter': '1', 'verse': '38', 'word_num': 21, 'word': 'Rabbi', 'occurrence': 1}]","Rabbi",1,"Ῥαββεί = Rabbi",1.0,0,0
"488255","jhn","1","49","3",",1469302,",",1253656,",0,"[{'id': 1469302, 'book_id': 'jhn', 'chapter': '1', 'verse': '49', 'word_num': 3, 'word': 'Ῥαββεί', 'occurrence': 1, 'strong': 'G44610', 'lemma': 'ῥαββεί', 'morph': 'Gr,N,,,,,VMSI'}]","Ῥαββεί",1,0,"[{'id': 1253656, 'book_id': 'jhn', 'chapter': '1', 'verse': '49', 'word_num': 4, 'word': 'Rabbi', 'occurrence': 1}]","Rabbi",1,"Ῥαββεί = Rabbi",1.0,0,0
"488712","jhn","3","2","8",",1469806,",",1254258,",0,"[{'id': 1469806, 'book_id': 'jhn', 'chapter': '3', 'verse': '2', 'word_num': 8, 'word': 'Ῥαββεί', 'occurrence': 1, 'strong': 'G44610', 'lemma': 'ῥαββεί', 'morph': 'Gr,N,,,,,VMSI'}]","Ῥαββεί",1,0,"[{'id': 1254258, 'book_id': 'jhn', 'chapter': '3', 'verse': '2', 'word_num': 11, 'word': 'Rabbi', 'occurrence': 1}]","Rabbi",1,"Ῥαββεί = Rabbi",1.0,0,0
"489117","jhn","3","26","7",",1470248,",",1254796,",0,"[{'id': 1470248, 'book_id': 'jhn', 'chapter': '3', 'verse': '26', 'word_num': 8, 'word': 'Ῥαββεί', 'occurrence': 1, 'strong': 'G44610', 'lemma': 'ῥαββεί', 'morph': 'Gr,N,,,,,VMSI'}]","Ῥαββεί",1,0,"[{'id': 1254796, 'book_id': 'jhn', 'chapter': '3', 'verse': '26', 'word_num': 9, 'word': 'Rabbi', 'occurrence': 1}]","Rabbi",1,"Ῥαββεί = Rabbi",1.0,0,0
"489778","jhn","4","31","8",",1470960,",",1255668,",0,"[{'id': 1470960, 'book_id': 'jhn', 'chapter': '4', 'verse': '31', 'word_num': 8, 'word': 'Ῥαββεί', 'occurrence': 1, 'strong': 'G44610', 'lemma': 'ῥαββεί', 'morph': 'Gr,N,,,,,VMSI'}]","Ῥαββεί",1,0,"[{'id': 1255668, 'book_id': 'jhn', 'chapter': '4', 'verse': '31', 'word_num': 9, 'word': 'Rabbi', 'occurrence': 1}]","Rabbi",1,"Ῥαββεί = Rabbi",1.0,0,0
"491289","jhn","6","25","7",",1472607,",",1257746,",0,"[{'id': 1472607, 'book_id': 'jhn', 'chapter': '6', 'verse': '25', 'word_num': 8, 'word': 'Ῥαββεί', 'occurrence': 1, 'strong': 'G44610', 'lemma': 'ῥαββεί', 'morph': 'Gr,N,,,,,VMSI'}]","Ῥαββεί",1,0,"[{'id': 1257746, 'book_id': 'jhn', 'chapter': '6', 'verse': '25', 'word_num': 15, 'word': 'Rabbi', 'occurrence': 1}]","Rabbi",1,"Ῥαββεί = Rabbi",1.0,0,0
"493706","jhn","9","2","6",",1475369,",",1261089,",0,"[{'id': 1475369, 'book_id': 'jhn', 'chapter': '9', 'verse': '2', 'word_num': 7, 'word': 'Ῥαββεί', 'occurrence': 1, 'strong': 'G44610', 'lemma': 'ῥαββεί', 'morph': 'Gr,N,,,,,VMSI'}]","Ῥαββεί",1,0,"[{'id': 1261089, 'book_id': 'jhn', 'chapter': '9', 'verse': '2', 'word_num': 6, 'word': 'Rabbi', 'occurrence': 1}]","Rabbi",1,"Ῥαββεί = Rabbi",1.0,0,0
"495104","jhn","11","8","4",",1476857,",",1262976,",0,"[{'id': 1476857, 'book_id': 'jhn', 'chapter': '11', 'verse': '8', 'word_num': 4, 'word': 'Ῥαββεί', 'occurrence': 1, 'strong': 'G44610', 'lemma': 'ῥαββεί', 'morph': 'Gr,N,,,,,VMSI'}]","Ῥαββεί",1,0,"[{'id': 1262976, 'book_id': 'jhn', 'chapter': '11', 'verse': '8', 'word_num': 5, 'word': 'Rabbi', 'occurrence': 1}]","Rabbi",1,"Ῥαββεί = Rabbi",1.0,0,0
