"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"463497","mrk","9","23","7",",1443560,",",1219275,1219276,",0,"[{'id': 1443560, 'book_id': 'mrk', 'chapter': '9', 'verse': '23', 'word_num': 9, 'word': 'δυνατὰ', 'occurrence': 1, 'strong': 'G14150', 'lemma': 'δυνατός', 'morph': 'Gr,NP,,,,NNP,'}]","δυνατὰ",1,1,"[{'id': 1219275, 'book_id': 'mrk', 'chapter': '9', 'verse': '23', 'word_num': 11, 'word': 'are', 'occurrence': 2}, {'id': 1219276, 'book_id': 'mrk', 'chapter': '9', 'verse': '23', 'word_num': 12, 'word': 'possible', 'occurrence': 1}]","are possible",2,"δυνατὰ = are possible",0.06896551724137931,0,0
"464297","mrk","10","27","13",",1444451,",",1220457,1220458,",0,"[{'id': 1444451, 'book_id': 'mrk', 'chapter': '10', 'verse': '27', 'word_num': 14, 'word': 'δυνατὰ', 'occurrence': 1, 'strong': 'G14150', 'lemma': 'δυνατός', 'morph': 'Gr,NP,,,,NNP,'}]","δυνατὰ",1,1,"[{'id': 1220457, 'book_id': 'mrk', 'chapter': '10', 'verse': '27', 'word_num': 18, 'word': 'are', 'occurrence': 1}, {'id': 1220458, 'book_id': 'mrk', 'chapter': '10', 'verse': '27', 'word_num': 19, 'word': 'possible', 'occurrence': 1}]","are possible",2,"δυνατὰ = are possible",0.06896551724137931,0,0
"466332","mrk","13","22","13",",1446671,",",1223376,",0,"[{'id': 1446671, 'book_id': 'mrk', 'chapter': '13', 'verse': '22', 'word_num': 14, 'word': 'δυνατὸν', 'occurrence': 1, 'strong': 'G14150', 'lemma': 'δυνατός', 'morph': 'Gr,NS,,,,NNS,'}]","δυνατὸν",1,0,"[{'id': 1223376, 'book_id': 'mrk', 'chapter': '13', 'verse': '22', 'word_num': 19, 'word': 'possible', 'occurrence': 1}]","possible",1,"δυνατὸν = possible",0.13793103448275862,0,0
"467094","mrk","14","35","13",",1447491,",",1224470,1224471,",0,"[{'id': 1447491, 'book_id': 'mrk', 'chapter': '14', 'verse': '35', 'word_num': 11, 'word': 'δυνατόν', 'occurrence': 1, 'strong': 'G14150', 'lemma': 'δυνατός', 'morph': 'Gr,NP,,,,NNS,'}]","δυνατόν",1,1,"[{'id': 1224470, 'book_id': 'mrk', 'chapter': '14', 'verse': '35', 'word_num': 15, 'word': 'were', 'occurrence': 1}, {'id': 1224471, 'book_id': 'mrk', 'chapter': '14', 'verse': '35', 'word_num': 16, 'word': 'possible', 'occurrence': 1}]","were possible",2,"δυνατόν = were possible",0.034482758620689655,0,0
"467104","mrk","14","36","4",",1447504,",",1224484,1224485,",0,"[{'id': 1447504, 'book_id': 'mrk', 'chapter': '14', 'verse': '36', 'word_num': 6, 'word': 'δυνατά', 'occurrence': 1, 'strong': 'G14150', 'lemma': 'δυνατός', 'morph': 'Gr,NP,,,,NNP,'}]","δυνατά",1,1,"[{'id': 1224484, 'book_id': 'mrk', 'chapter': '14', 'verse': '36', 'word_num': 6, 'word': 'are', 'occurrence': 1}, {'id': 1224485, 'book_id': 'mrk', 'chapter': '14', 'verse': '36', 'word_num': 7, 'word': 'possible', 'occurrence': 1}]","are possible",2,"δυνατά = are possible",0.034482758620689655,0,0
"469174","luk","1","49","2",",1449867,",",1227715,1227716,",0,"[{'id': 1449867, 'book_id': 'luk', 'chapter': '1', 'verse': '49', 'word_num': 5, 'word': 'δυνατός', 'occurrence': 1, 'strong': 'G14150', 'lemma': 'δυνατός', 'morph': 'Gr,NS,,,,NMS,'}]","δυνατός",1,1,"[{'id': 1227715, 'book_id': 'luk', 'chapter': '1', 'verse': '49', 'word_num': 2, 'word': 'Mighty', 'occurrence': 1}, {'id': 1227716, 'book_id': 'luk', 'chapter': '1', 'verse': '49', 'word_num': 3, 'word': 'One', 'occurrence': 1}]","Mighty One",2,"δυνατός = Mighty One",0.034482758620689655,0,0
"480371","luk","14","31","17",",1461270,",",1242889,",0,"[{'id': 1461270, 'book_id': 'luk', 'chapter': '14', 'verse': '31', 'word_num': 14, 'word': 'δυνατός', 'occurrence': 1, 'strong': 'G14150', 'lemma': 'δυνατός', 'morph': 'Gr,NP,,,,NMS,'}]","δυνατός",1,0,"[{'id': 1242889, 'book_id': 'luk', 'chapter': '14', 'verse': '31', 'word_num': 20, 'word': 'able', 'occurrence': 1}]","able",1,"δυνατός = able",0.10344827586206896,0,0
"482584","luk","18","27","8",",1463524,",",1245949,",0,"[{'id': 1463524, 'book_id': 'luk', 'chapter': '18', 'verse': '27', 'word_num': 7, 'word': 'δυνατὰ', 'occurrence': 1, 'strong': 'G14150', 'lemma': 'δυνατός', 'morph': 'Gr,NP,,,,NNP,'}]","δυνατὰ",1,0,"[{'id': 1245949, 'book_id': 'luk', 'chapter': '18', 'verse': '27', 'word_num': 11, 'word': 'possible', 'occurrence': 1}]","possible",1,"δυνατὰ = possible",0.034482758620689655,0,0
"487022","luk","24","19","17",",1468001,",",1252027,",0,"[{'id': 1468001, 'book_id': 'luk', 'chapter': '24', 'verse': '19', 'word_num': 17, 'word': 'δυνατὸς', 'occurrence': 1, 'strong': 'G14150', 'lemma': 'δυνατός', 'morph': 'Gr,AA,,,,NMS,'}]","δυνατὸς",1,0,"[{'id': 1252027, 'book_id': 'luk', 'chapter': '24', 'verse': '19', 'word_num': 24, 'word': 'mighty', 'occurrence': 1}]","mighty",1,"δυνατὸς = mighty",0.10344827586206896,0,0
"502825","act","2","24","12",",1485075,",",1273584,",0,"[{'id': 1485075, 'book_id': 'act', 'chapter': '2', 'verse': '24', 'word_num': 12, 'word': 'δυνατὸν', 'occurrence': 1, 'strong': 'G14150', 'lemma': 'δυνατός', 'morph': 'Gr,NP,,,,NNS,'}]","δυνατὸν",1,0,"[{'id': 1273584, 'book_id': 'act', 'chapter': '2', 'verse': '24', 'word_num': 19, 'word': 'possible', 'occurrence': 1}]","possible",1,"δυνατὸν = possible",0.13793103448275862,0,0
