"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"462090","mrk","7","8","2",",1442045,",",1217309,",0,"[{'id': 1442045, 'book_id': 'mrk', 'chapter': '7', 'verse': '8', 'word_num': 2, 'word': 'ἐντολὴν', 'occurrence': 1, 'strong': 'G17850', 'lemma': 'ἐντολή', 'morph': 'Gr,N,,,,,AFS,'}]","ἐντολὴν",1,0,"[{'id': 1217309, 'book_id': 'mrk', 'chapter': '7', 'verse': '8', 'word_num': 3, 'word': 'commandment', 'occurrence': 1}]","commandment",1,"ἐντολὴν = commandment",0.06557377049180328,0,0
"462103","mrk","7","9","7",",1442059,",",1217330,",0,"[{'id': 1442059, 'book_id': 'mrk', 'chapter': '7', 'verse': '9', 'word_num': 6, 'word': 'ἐντολὴν', 'occurrence': 1, 'strong': 'G17850', 'lemma': 'ἐντολή', 'morph': 'Gr,N,,,,,AFS,'}]","ἐντολὴν",1,0,"[{'id': 1217330, 'book_id': 'mrk', 'chapter': '7', 'verse': '9', 'word_num': 10, 'word': 'commandment', 'occurrence': 1}]","commandment",1,"ἐντολὴν = commandment",0.06557377049180328,0,0
"463979","mrk","10","5","6",",1444111,1444112,",",1220000,",1,"[{'id': 1444111, 'book_id': 'mrk', 'chapter': '10', 'verse': '5', 'word_num': 11, 'word': 'τὴν', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1444112, 'book_id': 'mrk', 'chapter': '10', 'verse': '5', 'word_num': 12, 'word': 'ἐντολὴν', 'occurrence': 1, 'strong': 'G17850', 'lemma': 'ἐντολή', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ἐντολὴν",2,0,"[{'id': 1220000, 'book_id': 'mrk', 'chapter': '10', 'verse': '5', 'word_num': 8, 'word': 'commandment', 'occurrence': 1}]","commandment",1,"τὴν ἐντολὴν = commandment",0.01639344262295082,0,0
"464154","mrk","10","19","2",",1444293,",",1220249,",0,"[{'id': 1444293, 'book_id': 'mrk', 'chapter': '10', 'verse': '19', 'word_num': 1, 'word': 'ἐντολὰς', 'occurrence': 1, 'strong': 'G17850', 'lemma': 'ἐντολή', 'morph': 'Gr,N,,,,,AFP,'}]","ἐντολὰς",1,0,"[{'id': 1220249, 'book_id': 'mrk', 'chapter': '10', 'verse': '19', 'word_num': 3, 'word': 'commandments', 'occurrence': 1}]","commandments",1,"ἐντολὰς = commandments",0.08196721311475409,0,0
"465706","mrk","12","28","16",",1445979,",",1222498,",0,"[{'id': 1445979, 'book_id': 'mrk', 'chapter': '12', 'verse': '28', 'word_num': 17, 'word': 'ἐντολὴ', 'occurrence': 1, 'strong': 'G17850', 'lemma': 'ἐντολή', 'morph': 'Gr,N,,,,,NFS,'}]","ἐντολὴ",1,0,"[{'id': 1222498, 'book_id': 'mrk', 'chapter': '12', 'verse': '28', 'word_num': 24, 'word': 'commandment', 'occurrence': 1}]","commandment",1,"ἐντολὴ = commandment",0.09836065573770492,0,0
"465754","mrk","12","31","11",",1446037,",",1222560,",0,"[{'id': 1446037, 'book_id': 'mrk', 'chapter': '12', 'verse': '31', 'word_num': 11, 'word': 'ἐντολὴ', 'occurrence': 1, 'strong': 'G17850', 'lemma': 'ἐντολή', 'morph': 'Gr,N,,,,,NFS,'}]","ἐντολὴ",1,0,"[{'id': 1222560, 'book_id': 'mrk', 'chapter': '12', 'verse': '31', 'word_num': 17, 'word': 'commandment', 'occurrence': 2}]","commandment",1,"ἐντολὴ = commandment",0.09836065573770492,0,0
"468495","luk","1","6","11",",1449161,",",1226791,",0,"[{'id': 1449161, 'book_id': 'luk', 'chapter': '1', 'verse': '6', 'word_num': 11, 'word': 'ἐντολαῖς', 'occurrence': 1, 'strong': 'G17850', 'lemma': 'ἐντολή', 'morph': 'Gr,N,,,,,DFP,'}]","ἐντολαῖς",1,0,"[{'id': 1226791, 'book_id': 'luk', 'chapter': '1', 'verse': '6', 'word_num': 12, 'word': 'commandments', 'occurrence': 1}]","commandments",1,"ἐντολαῖς = commandments",0.01639344262295082,0,0
"480925","luk","15","29","16",",1461836,",",1243643,1243644,",0,"[{'id': 1461836, 'book_id': 'luk', 'chapter': '15', 'verse': '29', 'word_num': 14, 'word': 'ἐντολήν', 'occurrence': 1, 'strong': 'G17850', 'lemma': 'ἐντολή', 'morph': 'Gr,N,,,,,AFS,'}]","ἐντολήν",1,1,"[{'id': 1243643, 'book_id': 'luk', 'chapter': '15', 'verse': '29', 'word_num': 20, 'word': 'a', 'occurrence': 1}, {'id': 1243644, 'book_id': 'luk', 'chapter': '15', 'verse': '29', 'word_num': 21, 'word': 'command', 'occurrence': 1}]","a command",2,"ἐντολήν = a command",0.01639344262295082,0,0
"482476","luk","18","20","2",",1463413,",",1245792,",0,"[{'id': 1463413, 'book_id': 'luk', 'chapter': '18', 'verse': '20', 'word_num': 1, 'word': 'ἐντολὰς', 'occurrence': 1, 'strong': 'G17850', 'lemma': 'ἐντολή', 'morph': 'Gr,N,,,,,AFP,'}]","ἐντολὰς",1,0,"[{'id': 1245792, 'book_id': 'luk', 'chapter': '18', 'verse': '20', 'word_num': 3, 'word': 'commandments', 'occurrence': 1}]","commandments",1,"ἐντολὰς = commandments",0.08196721311475409,0,0
"486735","luk","23","56","13",",1467714,",",1251653,",0,"[{'id': 1467714, 'book_id': 'luk', 'chapter': '23', 'verse': '56', 'word_num': 13, 'word': 'ἐντολήν', 'occurrence': 1, 'strong': 'G17850', 'lemma': 'ἐντολή', 'morph': 'Gr,N,,,,,AFS,'}]","ἐντολήν",1,0,"[{'id': 1251653, 'book_id': 'luk', 'chapter': '23', 'verse': '56', 'word_num': 17, 'word': 'commandment', 'occurrence': 1}]","commandment",1,"ἐντολήν = commandment",0.01639344262295082,0,0
