"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"460820","mrk","5","29","8",",1440687,",",1215571,",0,"[{'id': 1440687, 'book_id': 'mrk', 'chapter': '5', 'verse': '29', 'word_num': 11, 'word': 'σώματι', 'occurrence': 1, 'strong': 'G49830', 'lemma': 'σῶμα', 'morph': 'Gr,N,,,,,DNS,'}]","σώματι",1,0,"[{'id': 1215571, 'book_id': 'mrk', 'chapter': '5', 'verse': '29', 'word_num': 12, 'word': 'body', 'occurrence': 1}]","body",1,"σώματι = body",0.5909090909090909,13,0,0
"478543","luk","12","22","17",",1459425,",",1240378,",0,"[{'id': 1459425, 'book_id': 'luk', 'chapter': '12', 'verse': '22', 'word_num': 18, 'word': 'σώματι', 'occurrence': 1, 'strong': 'G49830', 'lemma': 'σῶμα', 'morph': 'Gr,N,,,,,DNS,'}]","σώματι",1,0,"[{'id': 1240378, 'book_id': 'luk', 'chapter': '12', 'verse': '22', 'word_num': 26, 'word': 'body', 'occurrence': 1}]","body",1,"σώματι = body",0.5909090909090909,13,0,0
"522082","rom","6","12","8",",1505045,",",1300171,",0,"[{'id': 1505045, 'book_id': 'rom', 'chapter': '6', 'verse': '12', 'word_num': 9, 'word': 'σώματι', 'occurrence': 1, 'strong': 'G49830', 'lemma': 'σῶμα', 'morph': 'Gr,N,,,,,DNS,'}]","σώματι",1,0,"[{'id': 1300171, 'book_id': 'rom', 'chapter': '6', 'verse': '12', 'word_num': 9, 'word': 'body', 'occurrence': 1}]","body",1,"σώματι = body",0.5909090909090909,13,0,0
"524742","rom","12","4","7",",1507899,",",1304305,",0,"[{'id': 1507899, 'book_id': 'rom', 'chapter': '12', 'verse': '4', 'word_num': 4, 'word': 'σώματι', 'occurrence': 1, 'strong': 'G49830', 'lemma': 'σῶμα', 'morph': 'Gr,N,,,,,DNS,'}]","σώματι",1,0,"[{'id': 1304305, 'book_id': 'rom', 'chapter': '12', 'verse': '4', 'word_num': 9, 'word': 'body', 'occurrence': 1}]","body",1,"σώματι = body",0.5909090909090909,13,0,0
"527867","1co","5","3","4",",1511255,1511256,",",1308921,1308922,",1,"[{'id': 1511255, 'book_id': '1co', 'chapter': '5', 'verse': '3', 'word_num': 4, 'word': 'τῷ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DNS,'}, {'id': 1511256, 'book_id': '1co', 'chapter': '5', 'verse': '3', 'word_num': 5, 'word': 'σώματι', 'occurrence': 1, 'strong': 'G49830', 'lemma': 'σῶμα', 'morph': 'Gr,N,,,,,DNS,'}]","τῷ σώματι",2,1,"[{'id': 1308921, 'book_id': '1co', 'chapter': '5', 'verse': '3', 'word_num': 6, 'word': 'in', 'occurrence': 1}, {'id': 1308922, 'book_id': '1co', 'chapter': '5', 'verse': '3', 'word_num': 7, 'word': 'body', 'occurrence': 1}]","in body",2,"τῷ σώματι = in body",0.045454545454545456,1,0,0
"528255","1co","6","13","22",",1511656,",",1309508,",0,"[{'id': 1511656, 'book_id': '1co', 'chapter': '6', 'verse': '13', 'word_num': 30, 'word': 'σώματι', 'occurrence': 1, 'strong': 'G49830', 'lemma': 'σῶμα', 'morph': 'Gr,N,,,,,DNS,'}]","σώματι",1,0,"[{'id': 1309508, 'book_id': '1co', 'chapter': '6', 'verse': '13', 'word_num': 37, 'word': 'body', 'occurrence': 2}]","body",1,"σώματι = body",0.5909090909090909,13,0,0
"528365","1co","6","20","8",",1511769,1511770,",",1309666,",1,"[{'id': 1511769, 'book_id': '1co', 'chapter': '6', 'verse': '20', 'word_num': 8, 'word': 'τῷ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DNS,'}, {'id': 1511770, 'book_id': '1co', 'chapter': '6', 'verse': '20', 'word_num': 9, 'word': 'σώματι', 'occurrence': 1, 'strong': 'G49830', 'lemma': 'σῶμα', 'morph': 'Gr,N,,,,,DNS,'}]","τῷ σώματι",2,0,"[{'id': 1309666, 'book_id': '1co', 'chapter': '6', 'verse': '20', 'word_num': 12, 'word': 'body', 'occurrence': 1}]","body",1,"τῷ σώματι = body",0.18181818181818182,4,0,0
"528903","1co","7","34","9",",1512316,",",1310473,",0,"[{'id': 1512316, 'book_id': '1co', 'chapter': '7', 'verse': '34', 'word_num': 9, 'word': 'σώματι', 'occurrence': 1, 'strong': 'G49830', 'lemma': 'σῶμα', 'morph': 'Gr,N,,,,,DNS,'}]","σώματι",1,0,"[{'id': 1310473, 'book_id': '1co', 'chapter': '7', 'verse': '34', 'word_num': 17, 'word': 'body', 'occurrence': 1}]","body",1,"σώματι = body",0.5909090909090909,13,0,0
"530932","1co","12","18","11",",1514405,",",1313517,",0,"[{'id': 1514405, 'book_id': '1co', 'chapter': '12', 'verse': '18', 'word_num': 12, 'word': 'σώματι', 'occurrence': 1, 'strong': 'G49830', 'lemma': 'σῶμα', 'morph': 'Gr,N,,,,,DNS,'}]","σώματι",1,0,"[{'id': 1313517, 'book_id': '1co', 'chapter': '12', 'verse': '18', 'word_num': 13, 'word': 'body', 'occurrence': 1}]","body",1,"σώματι = body",0.5909090909090909,13,0,0
"531028","1co","12","25","6",",1514502,",",1313648,",0,"[{'id': 1514502, 'book_id': '1co', 'chapter': '12', 'verse': '25', 'word_num': 6, 'word': 'σώματι', 'occurrence': 1, 'strong': 'G49830', 'lemma': 'σῶμα', 'morph': 'Gr,N,,,,,DNS,'}]","σώματι",1,0,"[{'id': 1313648, 'book_id': '1co', 'chapter': '12', 'verse': '25', 'word_num': 9, 'word': 'body', 'occurrence': 1}]","body",1,"σώματι = body",0.5909090909090909,13,0,0
