"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"459870","mrk","4","10","9",",1439701,",",1214234,",0,"[{'id': 1439701, 'book_id': 'mrk', 'chapter': '4', 'verse': '10', 'word_num': 5, 'word': 'ἠρώτων', 'occurrence': 1, 'strong': 'G20650', 'lemma': 'ἐρωτάω', 'morph': 'Gr,V,IIA3,,P,'}]","ἠρώτων",1,0,"[{'id': 1214234, 'book_id': 'mrk', 'chapter': '4', 'verse': '10', 'word_num': 13, 'word': 'asked', 'occurrence': 1}]","asked",1,"ἠρώτων = asked",0.42857142857142855,3,0,0
"489775","jhn","4","31","5",",1470955,",",1255664,1255665,",0,"[{'id': 1470955, 'book_id': 'jhn', 'chapter': '4', 'verse': '31', 'word_num': 3, 'word': 'ἠρώτων', 'occurrence': 1, 'strong': 'G20650', 'lemma': 'ἐρωτάω', 'morph': 'Gr,V,IIA3,,P,'}]","ἠρώτων",1,1,"[{'id': 1255664, 'book_id': 'jhn', 'chapter': '4', 'verse': '31', 'word_num': 5, 'word': 'were', 'occurrence': 1}, {'id': 1255665, 'book_id': 'jhn', 'chapter': '4', 'verse': '31', 'word_num': 6, 'word': 'urging', 'occurrence': 1}]","were urging",2,"ἠρώτων = were urging",0.14285714285714285,1,0,0
"489919","jhn","4","40","7",",1471113,",",1255853,1255854,",0,"[{'id': 1471113, 'book_id': 'jhn', 'chapter': '4', 'verse': '40', 'word_num': 7, 'word': 'ἠρώτων', 'occurrence': 1, 'strong': 'G20650', 'lemma': 'ἐρωτάω', 'morph': 'Gr,V,IIA3,,P,'}]","ἠρώτων",1,1,"[{'id': 1255853, 'book_id': 'jhn', 'chapter': '4', 'verse': '40', 'word_num': 7, 'word': 'they', 'occurrence': 1}, {'id': 1255854, 'book_id': 'jhn', 'chapter': '4', 'verse': '40', 'word_num': 8, 'word': 'asked', 'occurrence': 1}]","they asked",2,"ἠρώτων = they asked",0.2857142857142857,2,0,0
"493896","jhn","9","15","5",",1475571,",",1261352,",0,"[{'id': 1475571, 'book_id': 'jhn', 'chapter': '9', 'verse': '15', 'word_num': 2, 'word': 'ἠρώτων', 'occurrence': 1, 'strong': 'G20650', 'lemma': 'ἐρωτάω', 'morph': 'Gr,V,IIA3,,P,'}]","ἠρώτων",1,0,"[{'id': 1261352, 'book_id': 'jhn', 'chapter': '9', 'verse': '15', 'word_num': 5, 'word': 'asked', 'occurrence': 1}]","asked",1,"ἠρώτων = asked",0.42857142857142855,3,0,0
"496204","jhn","12","21","9",",1478038,",",1264477,",0,"[{'id': 1478038, 'book_id': 'jhn', 'chapter': '12', 'verse': '21', 'word_num': 10, 'word': 'ἠρώτων', 'occurrence': 1, 'strong': 'G20650', 'lemma': 'ἐρωτάω', 'morph': 'Gr,V,IIA3,,P,'}]","ἠρώτων",1,0,"[{'id': 1264477, 'book_id': 'jhn', 'chapter': '12', 'verse': '21', 'word_num': 13, 'word': 'asked', 'occurrence': 1}]","asked",1,"ἠρώτων = asked",0.42857142857142855,3,0,0
"502038","act","1","6","4",",1484246,",",1272543,1272544,",0,"[{'id': 1484246, 'book_id': 'act', 'chapter': '1', 'verse': '6', 'word_num': 4, 'word': 'ἠρώτων', 'occurrence': 1, 'strong': 'G20650', 'lemma': 'ἐρωτάω', 'morph': 'Gr,V,IIA3,,P,'}]","ἠρώτων",1,1,"[{'id': 1272543, 'book_id': 'act', 'chapter': '1', 'verse': '6', 'word_num': 6, 'word': 'they', 'occurrence': 2}, {'id': 1272544, 'book_id': 'act', 'chapter': '1', 'verse': '6', 'word_num': 7, 'word': 'asked', 'occurrence': 1}]","they asked",2,"ἠρώτων = they asked",0.2857142857142857,2,0,0
"512487","act","16","39","6",",1495011,",",1286581,1286582,",0,"[{'id': 1495011, 'book_id': 'act', 'chapter': '16', 'verse': '39', 'word_num': 6, 'word': 'ἠρώτων', 'occurrence': 1, 'strong': 'G20650', 'lemma': 'ἐρωτάω', 'morph': 'Gr,V,IIA3,,P,'}]","ἠρώτων",1,1,"[{'id': 1286581, 'book_id': 'act', 'chapter': '16', 'verse': '39', 'word_num': 11, 'word': 'asking', 'occurrence': 1}, {'id': 1286582, 'book_id': 'act', 'chapter': '16', 'verse': '39', 'word_num': 12, 'word': 'them', 'occurrence': 3}]","asking them",2,"ἠρώτων = asking them",0.14285714285714285,1,0,0
"462349","mrk","7","26","8",",1442324,1442325,",",1217672,1217673,",1,"[{'id': 1442324, 'book_id': 'mrk', 'chapter': '7', 'verse': '26', 'word_num': 8, 'word': 'καὶ', 'occurrence': 1, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1442325, 'book_id': 'mrk', 'chapter': '7', 'verse': '26', 'word_num': 9, 'word': 'ἠρώτα', 'occurrence': 1, 'strong': 'G20650', 'lemma': 'ἐρωτάω', 'morph': 'Gr,V,IIA3,,S,'}]","καὶ ἠρώτα",2,1,"[{'id': 1217672, 'book_id': 'mrk', 'chapter': '7', 'verse': '26', 'word_num': 10, 'word': 'She', 'occurrence': 1}, {'id': 1217673, 'book_id': 'mrk', 'chapter': '7', 'verse': '26', 'word_num': 11, 'word': 'begged', 'occurrence': 1}]","She begged",2,"καὶ ἠρώτα = She begged",0.2,1,0,0
"462599","mrk","8","5","1",",1442590,",",1218014,1218015,",0,"[{'id': 1442590, 'book_id': 'mrk', 'chapter': '8', 'verse': '5', 'word_num': 1, 'word': 'ἠρώτα', 'occurrence': 1, 'strong': 'G20650', 'lemma': 'ἐρωτάω', 'morph': 'Gr,V,IIA3,,S,'}]","ἠρώτα",1,1,"[{'id': 1218014, 'book_id': 'mrk', 'chapter': '8', 'verse': '5', 'word_num': 1, 'word': 'he', 'occurrence': 1}, {'id': 1218015, 'book_id': 'mrk', 'chapter': '8', 'verse': '5', 'word_num': 2, 'word': 'asked', 'occurrence': 1}]","he asked",2,"ἠρώτα = he asked",0.2,1,0,0
"473976","luk","7","36","5",",1454762,",",1234237,",0,"[{'id': 1454762, 'book_id': 'luk', 'chapter': '7', 'verse': '36', 'word_num': 0, 'word': 'ἠρώτα', 'occurrence': 1, 'strong': 'G20650', 'lemma': 'ἐρωτάω', 'morph': 'Gr,V,IIA3,,S,'}]","ἠρώτα",1,0,"[{'id': 1234237, 'book_id': 'luk', 'chapter': '7', 'verse': '36', 'word_num': 5, 'word': 'requested', 'occurrence': 1}]","requested",1,"ἠρώτα = requested",0.2,1,0,0
