"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458131","mrk","1","5","18",",1437832,",",1211826,",0,"[{'id': 1437832, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 20, 'word': 'ἐξομολογούμενοι', 'occurrence': 1, 'strong': 'G18430', 'lemma': 'ἐξομολογέω', 'morph': 'Gr,V,PPM,NMP,'}]","ἐξομολογούμενοι",1,0,"[{'id': 1211826, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 24, 'word': 'confessing', 'occurrence': 1}]","confessing",1,"ἐξομολογούμενοι = confessing",0.05555555555555555,2,0,0
"476796","luk","10","21","10",",1457635,",",1237981,1237982,",0,"[{'id': 1457635, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 11, 'word': 'ἐξομολογοῦμαί', 'occurrence': 1, 'strong': 'G18430', 'lemma': 'ἐξομολογέω', 'morph': 'Gr,V,IPM1,,S,'}]","ἐξομολογοῦμαί",1,1,"[{'id': 1237981, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 12, 'word': 'I', 'occurrence': 1}, {'id': 1237982, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 13, 'word': 'praise', 'occurrence': 1}]","I praise",2,"ἐξομολογοῦμαί = I praise",0.027777777777777776,1,0,0
"478299","luk","12","8","5",",1459170,1459171,",",1240049,",1,"[{'id': 1459170, 'book_id': 'luk', 'chapter': '12', 'verse': '8', 'word_num': 5, 'word': 'ἂν', 'occurrence': 1, 'strong': 'G03020', 'lemma': 'ἄν', 'morph': 'Gr,T,,,,,,,,,'}, {'id': 1459171, 'book_id': 'luk', 'chapter': '12', 'verse': '8', 'word_num': 6, 'word': 'ὁμολογήσῃ', 'occurrence': 1, 'strong': 'G36700', 'lemma': 'ὁμολογέω', 'morph': 'Gr,V,SAA3,,S,'}]","ἂν ὁμολογήσῃ",2,0,"[{'id': 1240049, 'book_id': 'luk', 'chapter': '12', 'verse': '8', 'word_num': 7, 'word': 'confesses', 'occurrence': 1}]","confesses",1,"ἂν ὁμολογήσῃ = confesses",0.027777777777777776,1,0,0
"478307","luk","12","8","13",",1459182,",",1240057,",0,"[{'id': 1459182, 'book_id': 'luk', 'chapter': '12', 'verse': '8', 'word_num': 17, 'word': 'ὁμολογήσει', 'occurrence': 1, 'strong': 'G36700', 'lemma': 'ὁμολογέω', 'morph': 'Gr,V,IFA3,,S,'}]","ὁμολογήσει",1,0,"[{'id': 1240057, 'book_id': 'luk', 'chapter': '12', 'verse': '8', 'word_num': 15, 'word': 'will', 'occurrence': 1}]","will",1,"ὁμολογήσει = will",0.027777777777777776,1,0,0
"484890","luk","22","6","1",",1465846,",",1249178,1249179,",0,"[{'id': 1465846, 'book_id': 'luk', 'chapter': '22', 'verse': '6', 'word_num': 1, 'word': 'ἐξωμολόγησεν', 'occurrence': 1, 'strong': 'G18430', 'lemma': 'ἐξομολογέω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐξωμολόγησεν",1,1,"[{'id': 1249178, 'book_id': 'luk', 'chapter': '22', 'verse': '6', 'word_num': 1, 'word': 'he', 'occurrence': 1}, {'id': 1249179, 'book_id': 'luk', 'chapter': '22', 'verse': '6', 'word_num': 2, 'word': 'agreed', 'occurrence': 1}]","he agreed",2,"ἐξωμολόγησεν = he agreed",0.027777777777777776,1,0,0
"487795","jhn","1","20","0",",1468803,1468804,",",1253044,1253045,",1,"[{'id': 1468803, 'book_id': 'jhn', 'chapter': '1', 'verse': '20', 'word_num': 0, 'word': 'καὶ', 'occurrence': 1, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1468804, 'book_id': 'jhn', 'chapter': '1', 'verse': '20', 'word_num': 1, 'word': 'ὡμολόγησεν', 'occurrence': 1, 'strong': 'G36700', 'lemma': 'ὁμολογέω', 'morph': 'Gr,V,IAA3,,S,'}]","καὶ ὡμολόγησεν",2,1,"[{'id': 1253044, 'book_id': 'jhn', 'chapter': '1', 'verse': '20', 'word_num': 0, 'word': 'He', 'occurrence': 1}, {'id': 1253045, 'book_id': 'jhn', 'chapter': '1', 'verse': '20', 'word_num': 1, 'word': 'confessed', 'occurrence': 1}]","He confessed",2,"καὶ ὡμολόγησεν = He confessed",0.027777777777777776,1,0,0
"487801","jhn","1","20","6",",1468809,",",1253052,",0,"[{'id': 1468809, 'book_id': 'jhn', 'chapter': '1', 'verse': '20', 'word_num': 6, 'word': 'ὡμολόγησεν', 'occurrence': 2, 'strong': 'G36700', 'lemma': 'ὁμολογέω', 'morph': 'Gr,V,IAA3,,S,'}]","ὡμολόγησεν",1,0,"[{'id': 1253052, 'book_id': 'jhn', 'chapter': '1', 'verse': '20', 'word_num': 8, 'word': 'confessed', 'occurrence': 2}]","confessed",1,"ὡμολόγησεν = confessed",0.027777777777777776,1,0,0
"494057","jhn","9","22","17",",1475743,",",1261566,1261567,",0,"[{'id': 1475743, 'book_id': 'jhn', 'chapter': '9', 'verse': '22', 'word_num': 18, 'word': 'ὁμολογήσῃ', 'occurrence': 1, 'strong': 'G36700', 'lemma': 'ὁμολογέω', 'morph': 'Gr,V,SAA3,,S,'}]","ὁμολογήσῃ",1,1,"[{'id': 1261566, 'book_id': 'jhn', 'chapter': '9', 'verse': '22', 'word_num': 21, 'word': 'would', 'occurrence': 1}, {'id': 1261567, 'book_id': 'jhn', 'chapter': '9', 'verse': '22', 'word_num': 22, 'word': 'confess', 'occurrence': 1}]","would confess",2,"ὁμολογήσῃ = would confess",0.027777777777777776,1,0,0
"496557","jhn","12","42","14",",1478426,",",1264950,",0,"[{'id': 1478426, 'book_id': 'jhn', 'chapter': '12', 'verse': '42', 'word_num': 15, 'word': 'ὡμολόγουν', 'occurrence': 1, 'strong': 'G36700', 'lemma': 'ὁμολογέω', 'morph': 'Gr,V,IIA3,,P,'}]","ὡμολόγουν",1,0,"[{'id': 1264950, 'book_id': 'jhn', 'chapter': '12', 'verse': '42', 'word_num': 15, 'word': 'they', 'occurrence': 1}]","they",1,"ὡμολόγουν = they",0.027777777777777776,1,0,0
"505717","act","7","17","9",",1488060,",",1277409,1277410,",0,"[{'id': 1488060, 'book_id': 'act', 'chapter': '7', 'verse': '17', 'word_num': 8, 'word': 'ὡμολόγησεν', 'occurrence': 1, 'strong': 'G36700', 'lemma': 'ὁμολογέω', 'morph': 'Gr,V,IAA3,,S,'}]","ὡμολόγησεν",1,1,"[{'id': 1277409, 'book_id': 'act', 'chapter': '7', 'verse': '17', 'word_num': 9, 'word': 'had', 'occurrence': 1}, {'id': 1277410, 'book_id': 'act', 'chapter': '7', 'verse': '17', 'word_num': 10, 'word': 'made', 'occurrence': 1}]","had made",2,"ὡμολόγησεν = had made",0.027777777777777776,1,0,0
