"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"481583","luk","17","1","9",",1462508,",",1244553,1244554,",0,"[{'id': 1462508, 'book_id': 'luk', 'chapter': '17', 'verse': '1', 'word_num': 10, 'word': 'σκάνδαλα', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,ANP,'}]","σκάνδαλα",1,1,"[{'id': 1244553, 'book_id': 'luk', 'chapter': '17', 'verse': '1', 'word_num': 11, 'word': 'stumbling', 'occurrence': 1}, {'id': 1244554, 'book_id': 'luk', 'chapter': '17', 'verse': '1', 'word_num': 12, 'word': 'blocks', 'occurrence': 1}]","stumbling blocks",2,"σκάνδαλα = stumbling blocks",0.5,1,0,0
"526250","rom","16","17","9",",1509551,1509552,",",1306609,",1,"[{'id': 1509551, 'book_id': 'rom', 'chapter': '16', 'verse': '17', 'word_num': 9, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 1509552, 'book_id': 'rom', 'chapter': '16', 'verse': '17', 'word_num': 10, 'word': 'σκάνδαλα', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,ANP,'}]","τὰ σκάνδαλα",2,0,"[{'id': 1306609, 'book_id': 'rom', 'chapter': '16', 'verse': '17', 'word_num': 14, 'word': 'obstacles', 'occurrence': 1}]","obstacles",1,"τὰ σκάνδαλα = obstacles",0.5,1,0,0
"523809","rom","9","33","10",",1506888,",",1302864,1302865,",0,"[{'id': 1506888, 'book_id': 'rom', 'chapter': '9', 'verse': '33', 'word_num': 10, 'word': 'σκανδάλου', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,GNS,'}]","σκανδάλου",1,1,"[{'id': 1302864, 'book_id': 'rom', 'chapter': '9', 'verse': '33', 'word_num': 18, 'word': 'of', 'occurrence': 2}, {'id': 1302865, 'book_id': 'rom', 'chapter': '9', 'verse': '33', 'word_num': 19, 'word': 'offense', 'occurrence': 1}]","of offense",2,"σκανδάλου = of offense",0.5,1,0,0
"557841","1pe","2","8","5",",1542215,",",1352611,1352612,1352613,1352614,",0,"[{'id': 1542215, 'book_id': '1pe', 'chapter': '2', 'verse': '8', 'word_num': 5, 'word': 'σκανδάλου', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,GNS,'}]","σκανδάλου",1,3,"[{'id': 1352611, 'book_id': '1pe', 'chapter': '2', 'verse': '8', 'word_num': 8, 'word': 'that', 'occurrence': 1}, {'id': 1352612, 'book_id': '1pe', 'chapter': '2', 'verse': '8', 'word_num': 9, 'word': 'makes', 'occurrence': 1}, {'id': 1352613, 'book_id': '1pe', 'chapter': '2', 'verse': '8', 'word_num': 10, 'word': 'them', 'occurrence': 1}, {'id': 1352614, 'book_id': '1pe', 'chapter': '2', 'verse': '8', 'word_num': 11, 'word': 'fall', 'occurrence': 1}]","that makes them fall",4,"σκανδάλου = that makes them fall",0.5,1,0,0
"524272","rom","11","9","11",",1507388,1507389,",",1303541,1303542,1303543,",1,"[{'id': 1507388, 'book_id': 'rom', 'chapter': '11', 'verse': '9', 'word_num': 13, 'word': 'εἰς', 'occurrence': 3, 'strong': 'G15190', 'lemma': 'εἰς', 'morph': 'Gr,P,,,,,A,,,'}, {'id': 1507389, 'book_id': 'rom', 'chapter': '11', 'verse': '9', 'word_num': 14, 'word': 'σκάνδαλον', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,ANS,'}]","εἰς σκάνδαλον",2,2,"[{'id': 1303541, 'book_id': 'rom', 'chapter': '11', 'verse': '9', 'word_num': 13, 'word': 'a', 'occurrence': 3}, {'id': 1303542, 'book_id': 'rom', 'chapter': '11', 'verse': '9', 'word_num': 14, 'word': 'stumbling', 'occurrence': 1}, {'id': 1303543, 'book_id': 'rom', 'chapter': '11', 'verse': '9', 'word_num': 15, 'word': 'block', 'occurrence': 1}]","a stumbling block",3,"εἰς σκάνδαλον = a stumbling block",0.16666666666666666,1,0,0
"525360","rom","14","13","13",",1508599,",",1305285,1305286,",0,"[{'id': 1508599, 'book_id': 'rom', 'chapter': '14', 'verse': '13', 'word_num': 15, 'word': 'σκάνδαλον', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,ANS,'}]","σκάνδαλον",1,1,"[{'id': 1305285, 'book_id': 'rom', 'chapter': '14', 'verse': '13', 'word_num': 21, 'word': 'a', 'occurrence': 2}, {'id': 1305286, 'book_id': 'rom', 'chapter': '14', 'verse': '13', 'word_num': 22, 'word': 'snare', 'occurrence': 1}]","a snare",2,"σκάνδαλον = a snare",0.16666666666666666,1,0,0
"526764","1co","1","23","5",",1510111,",",1307328,1307329,1307330,",0,"[{'id': 1510111, 'book_id': '1co', 'chapter': '1', 'verse': '23', 'word_num': 7, 'word': 'σκάνδαλον', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,ANS,'}]","σκάνδαλον",1,2,"[{'id': 1307328, 'book_id': '1co', 'chapter': '1', 'verse': '23', 'word_num': 5, 'word': 'a', 'occurrence': 1}, {'id': 1307329, 'book_id': '1co', 'chapter': '1', 'verse': '23', 'word_num': 6, 'word': 'stumbling', 'occurrence': 1}, {'id': 1307330, 'book_id': '1co', 'chapter': '1', 'verse': '23', 'word_num': 7, 'word': 'block', 'occurrence': 1}]","a stumbling block",3,"σκάνδαλον = a stumbling block",0.3333333333333333,2,0,0
"539084","gal","5","11","13",",1522809,",",1325596,1325597,",0,"[{'id': 1522809, 'book_id': 'gal', 'chapter': '5', 'verse': '11', 'word_num': 13, 'word': 'σκάνδαλον', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,NNS,'}]","σκάνδαλον",1,1,"[{'id': 1325596, 'book_id': 'gal', 'chapter': '5', 'verse': '11', 'word_num': 17, 'word': 'stumbling', 'occurrence': 1}, {'id': 1325597, 'book_id': 'gal', 'chapter': '5', 'verse': '11', 'word_num': 18, 'word': 'block', 'occurrence': 1}]","stumbling block",2,"σκάνδαλον = stumbling block",0.16666666666666666,1,0,0
"560277","1jn","2","10","10",",1544862,",",1356500,1356501,1356502,",0,"[{'id': 1544862, 'book_id': '1jn', 'chapter': '2', 'verse': '10', 'word_num': 10, 'word': 'σκάνδαλον', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,NNS,'}]","σκάνδαλον",1,2,"[{'id': 1356500, 'book_id': '1jn', 'chapter': '2', 'verse': '10', 'word_num': 14, 'word': 'occasion', 'occurrence': 1}, {'id': 1356501, 'book_id': '1jn', 'chapter': '2', 'verse': '10', 'word_num': 15, 'word': 'for', 'occurrence': 1}, {'id': 1356502, 'book_id': '1jn', 'chapter': '2', 'verse': '10', 'word_num': 16, 'word': 'stumbling', 'occurrence': 1}]","occasion for stumbling",3,"σκάνδαλον = occasion for stumbling",0.16666666666666666,1,0,0
"563417","rev","2","14","15",",1548320,",",1360933,1360934,1360935,",0,"[{'id': 1548320, 'book_id': 'rev', 'chapter': '2', 'verse': '14', 'word_num': 17, 'word': 'σκάνδαλον', 'occurrence': 1, 'strong': 'G46250', 'lemma': 'σκάνδαλον', 'morph': 'Gr,N,,,,,ANS,'}]","σκάνδαλον",1,2,"[{'id': 1360933, 'book_id': 'rev', 'chapter': '2', 'verse': '14', 'word_num': 25, 'word': 'a', 'occurrence': 2}, {'id': 1360934, 'book_id': 'rev', 'chapter': '2', 'verse': '14', 'word_num': 26, 'word': 'stumbling', 'occurrence': 1}, {'id': 1360935, 'book_id': 'rev', 'chapter': '2', 'verse': '14', 'word_num': 27, 'word': 'block', 'occurrence': 1}]","a stumbling block",3,"σκάνδαλον = a stumbling block",0.3333333333333333,2,0,0
