"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"470090","luk","2","35","13",",1450825,1450826,",",1228995,1228996,1228997,",1,"[{'id': 1450825, 'book_id': 'luk', 'chapter': '2', 'verse': '35', 'word_num': 9, 'word': 'ἂν', 'occurrence': 1, 'strong': 'G03020', 'lemma': 'ἄν', 'morph': 'Gr,T,,,,,,,,,'}, {'id': 1450826, 'book_id': 'luk', 'chapter': '2', 'verse': '35', 'word_num': 10, 'word': 'ἀποκαλυφθῶσιν', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,SAP3,,P,'}]","ἂν ἀποκαλυφθῶσιν",2,2,"[{'id': 1228995, 'book_id': 'luk', 'chapter': '2', 'verse': '35', 'word_num': 16, 'word': 'may', 'occurrence': 1}, {'id': 1228996, 'book_id': 'luk', 'chapter': '2', 'verse': '35', 'word_num': 17, 'word': 'be', 'occurrence': 1}, {'id': 1228997, 'book_id': 'luk', 'chapter': '2', 'verse': '35', 'word_num': 18, 'word': 'revealed', 'occurrence': 1}]","may be revealed",3,"ἂν ἀποκαλυφθῶσιν = may be revealed",1.0,1,0,0
"476812","luk","10","21","26",",1457652,",",1238001,",0,"[{'id': 1457652, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 28, 'word': 'ἀπεκάλυψας', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,IAA2,,S,'}]","ἀπεκάλυψας",1,0,"[{'id': 1238001, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 32, 'word': 'revealed', 'occurrence': 1}]","revealed",1,"ἀπεκάλυψας = revealed",1.0,1,0,0
"476853","luk","10","22","29",",1457697,",",1238052,1238053,1238054,",0,"[{'id': 1457697, 'book_id': 'luk', 'chapter': '10', 'verse': '22', 'word_num': 33, 'word': 'ἀποκαλύψαι', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,NAA,,,,,'}]","ἀποκαλύψαι",1,2,"[{'id': 1238052, 'book_id': 'luk', 'chapter': '10', 'verse': '22', 'word_num': 35, 'word': 'to', 'occurrence': 3}, {'id': 1238053, 'book_id': 'luk', 'chapter': '10', 'verse': '22', 'word_num': 36, 'word': 'reveal', 'occurrence': 1}, {'id': 1238054, 'book_id': 'luk', 'chapter': '10', 'verse': '22', 'word_num': 37, 'word': 'him', 'occurrence': 1}]","to reveal him",3,"ἀποκαλύψαι = to reveal him",0.5,1,0,0
"537620","gal","1","16","0",",1521282,",",1323279,1323280,",0,"[{'id': 1521282, 'book_id': 'gal', 'chapter': '1', 'verse': '16', 'word_num': 0, 'word': 'ἀποκαλύψαι', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,NAA,,,,,'}]","ἀποκαλύψαι",1,1,"[{'id': 1323279, 'book_id': 'gal', 'chapter': '1', 'verse': '16', 'word_num': 0, 'word': 'to', 'occurrence': 1}, {'id': 1323280, 'book_id': 'gal', 'chapter': '1', 'verse': '16', 'word_num': 1, 'word': 'reveal', 'occurrence': 1}]","to reveal",2,"ἀποκαλύψαι = to reveal",0.5,1,0,0
"478190","luk","12","2","5",",1459063,",",1239902,",0,"[{'id': 1459063, 'book_id': 'luk', 'chapter': '12', 'verse': '2', 'word_num': 6, 'word': 'ἀποκαλυφθήσεται', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,IFP3,,S,'}]","ἀποκαλυφθήσεται",1,0,"[{'id': 1239902, 'book_id': 'luk', 'chapter': '12', 'verse': '2', 'word_num': 5, 'word': 'will', 'occurrence': 1}]","will",1,"ἀποκαλυφθήσεται = will",0.5,1,0,0
"546711","2th","2","8","3",",1530739,",",1336244,1336245,1336246,",0,"[{'id': 1530739, 'book_id': '2th', 'chapter': '2', 'verse': '8', 'word_num': 2, 'word': 'ἀποκαλυφθήσεται', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,IFP3,,S,'}]","ἀποκαλυφθήσεται",1,2,"[{'id': 1336244, 'book_id': '2th', 'chapter': '2', 'verse': '8', 'word_num': 4, 'word': 'will', 'occurrence': 1}, {'id': 1336245, 'book_id': '2th', 'chapter': '2', 'verse': '8', 'word_num': 5, 'word': 'be', 'occurrence': 1}, {'id': 1336246, 'book_id': '2th', 'chapter': '2', 'verse': '8', 'word_num': 6, 'word': 'revealed', 'occurrence': 1}]","will be revealed",3,"ἀποκαλυφθήσεται = will be revealed",0.5,1,0,0
"482039","luk","17","30","6",",1462964,",",1245205,",0,"[{'id': 1462964, 'book_id': 'luk', 'chapter': '17', 'verse': '30', 'word_num': 9, 'word': 'ἀποκαλύπτεται', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,IPP3,,S,'}]","ἀποκαλύπτεται",1,0,"[{'id': 1245205, 'book_id': 'luk', 'chapter': '17', 'verse': '30', 'word_num': 11, 'word': 'when', 'occurrence': 1}]","when",1,"ἀποκαλύπτεται = when",0.25,1,0,0
"520145","rom","1","17","5",",1502889,",",1297182,1297183,",0,"[{'id': 1502889, 'book_id': 'rom', 'chapter': '1', 'verse': '17', 'word_num': 5, 'word': 'ἀποκαλύπτεται', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,IPP3,,S,'}]","ἀποκαλύπτεται",1,1,"[{'id': 1297182, 'book_id': 'rom', 'chapter': '1', 'verse': '17', 'word_num': 6, 'word': 'is', 'occurrence': 1}, {'id': 1297183, 'book_id': 'rom', 'chapter': '1', 'verse': '17', 'word_num': 7, 'word': 'revealed', 'occurrence': 1}]","is revealed",2,"ἀποκαλύπτεται = is revealed",0.5,2,0,0
"520161","rom","1","18","3",",1502902,",",1297205,1297206,",0,"[{'id': 1502902, 'book_id': 'rom', 'chapter': '1', 'verse': '18', 'word_num': 0, 'word': 'ἀποκαλύπτεται', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,IPP3,,S,'}]","ἀποκαλύπτεται",1,1,"[{'id': 1297205, 'book_id': 'rom', 'chapter': '1', 'verse': '18', 'word_num': 5, 'word': 'is', 'occurrence': 1}, {'id': 1297206, 'book_id': 'rom', 'chapter': '1', 'verse': '18', 'word_num': 6, 'word': 'revealed', 'occurrence': 1}]","is revealed",2,"ἀποκαλύπτεται = is revealed",0.5,2,0,0
"527333","1co","3","13","10",",1510716,",",1308132,1308133,1308134,1308135,",0,"[{'id': 1510716, 'book_id': '1co', 'chapter': '3', 'verse': '13', 'word_num': 12, 'word': 'ἀποκαλύπτεται', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,IPP3,,S,'}]","ἀποκαλύπτεται",1,3,"[{'id': 1308132, 'book_id': '1co', 'chapter': '3', 'verse': '13', 'word_num': 15, 'word': 'it', 'occurrence': 2}, {'id': 1308133, 'book_id': '1co', 'chapter': '3', 'verse': '13', 'word_num': 16, 'word': 'will', 'occurrence': 3}, {'id': 1308134, 'book_id': '1co', 'chapter': '3', 'verse': '13', 'word_num': 17, 'word': 'be', 'occurrence': 2}, {'id': 1308135, 'book_id': '1co', 'chapter': '3', 'verse': '13', 'word_num': 18, 'word': 'revealed', 'occurrence': 1}]","it will be revealed",4,"ἀποκαλύπτεται = it will be revealed",0.25,1,0,0
