"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"459774","mrk","4","4","3",",1439602,1439603,",",1214107,1214108,",1,"[{'id': 1439602, 'book_id': 'mrk', 'chapter': '4', 'verse': '4', 'word_num': 5, 'word': 'ὃ', 'occurrence': 1, 'strong': 'G37390', 'lemma': 'ὅς', 'morph': 'Gr,RI,,,,NNS,'}, {'id': 1439603, 'book_id': 'mrk', 'chapter': '4', 'verse': '4', 'word_num': 6, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,D,,,,,,,,,'}]","ὃ μὲν",2,1,"[{'id': 1214107, 'book_id': 'mrk', 'chapter': '4', 'verse': '4', 'word_num': 6, 'word': 'some', 'occurrence': 1}, {'id': 1214108, 'book_id': 'mrk', 'chapter': '4', 'verse': '4', 'word_num': 7, 'word': 'seed', 'occurrence': 1}]","some seed",2,"ὃ μὲν = some seed",0.0033222591362126247,1,0,0
"460886","mrk","5","33","20",",1440756,",",1215656,",0,"[{'id': 1440756, 'book_id': 'mrk', 'chapter': '5', 'verse': '33', 'word_num': 19, 'word': 'ἀλήθειαν', 'occurrence': 1, 'strong': 'G02250', 'lemma': 'ἀλήθεια', 'morph': 'Gr,N,,,,,AFS,'}]","ἀλήθειαν",1,0,"[{'id': 1215656, 'book_id': 'mrk', 'chapter': '5', 'verse': '33', 'word_num': 23, 'word': 'truth', 'occurrence': 1}]","truth",1,"ἀλήθειαν = truth",0.05647840531561462,17,0,0
"463309","mrk","9","12","4",",1443360,1443361,",",1219001,1219002,",1,"[{'id': 1443360, 'book_id': 'mrk', 'chapter': '9', 'verse': '12', 'word_num': 5, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,T,,,,,,,,,'}, {'id': 1443361, 'book_id': 'mrk', 'chapter': '9', 'verse': '12', 'word_num': 6, 'word': 'ἐλθὼν', 'occurrence': 1, 'strong': 'G20640', 'lemma': 'ἔρχομαι', 'morph': 'Gr,V,PAA,NMS,'}]","μὲν ἐλθὼν",2,1,"[{'id': 1219001, 'book_id': 'mrk', 'chapter': '9', 'verse': '12', 'word_num': 5, 'word': 'does', 'occurrence': 1}, {'id': 1219002, 'book_id': 'mrk', 'chapter': '9', 'verse': '12', 'word_num': 6, 'word': 'come', 'occurrence': 1}]","does come",2,"μὲν ἐλθὼν = does come",0.0033222591362126247,1,0,0
"465318","mrk","12","5","7",",1445571,1445572,",",1221964,",1,"[{'id': 1445571, 'book_id': 'mrk', 'chapter': '12', 'verse': '5', 'word_num': 8, 'word': 'οὓς', 'occurrence': 1, 'strong': 'G37390', 'lemma': 'ὅς', 'morph': 'Gr,RI,,,,AMP,'}, {'id': 1445572, 'book_id': 'mrk', 'chapter': '12', 'verse': '5', 'word_num': 9, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,DO,,,,,,,,'}]","οὓς μὲν",2,0,"[{'id': 1221964, 'book_id': 'mrk', 'chapter': '12', 'verse': '5', 'word_num': 15, 'word': 'some', 'occurrence': 1}]","some",1,"οὓς μὲν = some",0.0033222591362126247,1,0,0
"465450","mrk","12","14","8",",1445706,",",1222143,",0,"[{'id': 1445706, 'book_id': 'mrk', 'chapter': '12', 'verse': '14', 'word_num': 7, 'word': 'ἀληθὴς', 'occurrence': 1, 'strong': 'G02270', 'lemma': 'ἀληθής', 'morph': 'Gr,NP,,,,NMS,'}]","ἀληθὴς",1,0,"[{'id': 1222143, 'book_id': 'mrk', 'chapter': '12', 'verse': '14', 'word_num': 13, 'word': 'truthful', 'occurrence': 1}]","truthful",1,"ἀληθὴς = truthful",0.0033222591362126247,1,0,0
"465469","mrk","12","14","27",",1445722,",",1222168,",0,"[{'id': 1445722, 'book_id': 'mrk', 'chapter': '12', 'verse': '14', 'word_num': 23, 'word': 'ἀληθείας', 'occurrence': 1, 'strong': 'G02250', 'lemma': 'ἀλήθεια', 'morph': 'Gr,N,,,,,GFS,'}]","ἀληθείας",1,0,"[{'id': 1222168, 'book_id': 'mrk', 'chapter': '12', 'verse': '14', 'word_num': 38, 'word': 'truth', 'occurrence': 1}]","truth",1,"ἀληθείας = truth",0.08637873754152824,26,0,0
"465763","mrk","12","32","7",",1446047,1446048,",",1222572,",1,"[{'id': 1446047, 'book_id': 'mrk', 'chapter': '12', 'verse': '32', 'word_num': 7, 'word': 'ἐπ’', 'occurrence': 1, 'strong': 'G19090', 'lemma': 'ἐπί', 'morph': 'Gr,P,,,,,G,,,'}, {'id': 1446048, 'book_id': 'mrk', 'chapter': '12', 'verse': '32', 'word_num': 8, 'word': 'ἀληθείας', 'occurrence': 1, 'strong': 'G02250', 'lemma': 'ἀλήθεια', 'morph': 'Gr,N,,,,,GFS,'}]","ἐπ’ ἀληθείας",2,0,"[{'id': 1222572, 'book_id': 'mrk', 'chapter': '12', 'verse': '32', 'word_num': 9, 'word': 'truly', 'occurrence': 1}]","truly",1,"ἐπ’ ἀληθείας = truly",0.006644518272425249,2,0,0
"466875","mrk","14","21","2",",1447247,1447248,",",1224153,",1,"[{'id': 1447247, 'book_id': 'mrk', 'chapter': '14', 'verse': '21', 'word_num': 2, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,DO,,,,,,,,'}, {'id': 1447248, 'book_id': 'mrk', 'chapter': '14', 'verse': '21', 'word_num': 3, 'word': 'Υἱὸς', 'occurrence': 1, 'strong': 'G52070', 'lemma': 'υἱός', 'morph': 'Gr,N,,,,,NMS,'}]","μὲν Υἱὸς",2,0,"[{'id': 1224153, 'book_id': 'mrk', 'chapter': '14', 'verse': '21', 'word_num': 2, 'word': 'Son', 'occurrence': 1}]","Son",1,"μὲν Υἱὸς = Son",0.0033222591362126247,1,0,0
"467148","mrk","14","38","11",",1447546,",",1224541,",0,"[{'id': 1447546, 'book_id': 'mrk', 'chapter': '14', 'verse': '38', 'word_num': 9, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,DO,,,,,,,,'}]","μὲν",1,0,"[{'id': 1224541, 'book_id': 'mrk', 'chapter': '14', 'verse': '38', 'word_num': 14, 'word': 'indeed', 'occurrence': 1}]","indeed",1,"μὲν = indeed",0.11627906976744186,35,0,0
"467619","mrk","14","70","11",",1448050,",",1225206,",0,"[{'id': 1448050, 'book_id': 'mrk', 'chapter': '14', 'verse': '70', 'word_num': 13, 'word': 'ἀληθῶς', 'occurrence': 1, 'strong': 'G02300', 'lemma': 'ἀληθῶς', 'morph': 'Gr,D,,,,,,,,,'}]","ἀληθῶς",1,0,"[{'id': 1225206, 'book_id': 'mrk', 'chapter': '14', 'verse': '70', 'word_num': 19, 'word': 'Surely', 'occurrence': 1}]","Surely",1,"ἀληθῶς = Surely",0.0033222591362126247,1,0,0
