"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"468636","luk","1","15","15",",1449305,",",1226976,1226977,1226978,1226979,",0,"[{'id': 1449305, 'book_id': 'luk', 'chapter': '1', 'verse': '15', 'word_num': 16, 'word': 'πλησθήσεται', 'occurrence': 1, 'strong': 'G41300', 'lemma': 'πλήθω', 'morph': 'Gr,V,IFP3,,S,'}]","πλησθήσεται",1,3,"[{'id': 1226976, 'book_id': 'luk', 'chapter': '1', 'verse': '15', 'word_num': 21, 'word': 'he', 'occurrence': 3}, {'id': 1226977, 'book_id': 'luk', 'chapter': '1', 'verse': '15', 'word_num': 22, 'word': 'will', 'occurrence': 2}, {'id': 1226978, 'book_id': 'luk', 'chapter': '1', 'verse': '15', 'word_num': 23, 'word': 'be', 'occurrence': 2}, {'id': 1226979, 'book_id': 'luk', 'chapter': '1', 'verse': '15', 'word_num': 24, 'word': 'filled', 'occurrence': 1}]","he will be filled",4,"πλησθήσεται = he will be filled",0.045454545454545456,0,0
"468797","luk","1","23","8",",1449459,",",1227207,1227208,",0,"[{'id': 1449459, 'book_id': 'luk', 'chapter': '1', 'verse': '23', 'word_num': 3, 'word': 'ἐπλήσθησαν', 'occurrence': 1, 'strong': 'G41300', 'lemma': 'πλήθω', 'morph': 'Gr,V,IAP3,,P,'}]","ἐπλήσθησαν",1,1,"[{'id': 1227207, 'book_id': 'luk', 'chapter': '1', 'verse': '23', 'word_num': 12, 'word': 'were', 'occurrence': 1}, {'id': 1227208, 'book_id': 'luk', 'chapter': '1', 'verse': '23', 'word_num': 13, 'word': 'fulfilled', 'occurrence': 1}]","were fulfilled",2,"ἐπλήσθησαν = were fulfilled",0.09090909090909091,0,0
"469071","luk","1","41","15",",1449755,",",1227584,1227585,",0,"[{'id': 1449755, 'book_id': 'luk', 'chapter': '1', 'verse': '41', 'word_num': 18, 'word': 'ἐπλήσθη', 'occurrence': 1, 'strong': 'G41300', 'lemma': 'πλήθω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐπλήσθη",1,1,"[{'id': 1227584, 'book_id': 'luk', 'chapter': '1', 'verse': '41', 'word_num': 18, 'word': 'was', 'occurrence': 1}, {'id': 1227585, 'book_id': 'luk', 'chapter': '1', 'verse': '41', 'word_num': 19, 'word': 'filled', 'occurrence': 1}]","was filled",2,"ἐπλήσθη = was filled",0.13636363636363635,0,0
"469251","luk","1","57","3",",1449946,",",1227832,1227833,",0,"[{'id': 1449946, 'book_id': 'luk', 'chapter': '1', 'verse': '57', 'word_num': 3, 'word': 'ἐπλήσθη', 'occurrence': 1, 'strong': 'G41300', 'lemma': 'πλήθω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐπλήσθη",1,1,"[{'id': 1227832, 'book_id': 'luk', 'chapter': '1', 'verse': '57', 'word_num': 3, 'word': 'was', 'occurrence': 1}, {'id': 1227833, 'book_id': 'luk', 'chapter': '1', 'verse': '57', 'word_num': 4, 'word': 'completed', 'occurrence': 1}]","was completed",2,"ἐπλήσθη = was completed",0.045454545454545456,0,0
"469399","luk","1","67","4",",1450107,",",1228031,1228032,",0,"[{'id': 1450107, 'book_id': 'luk', 'chapter': '1', 'verse': '67', 'word_num': 5, 'word': 'ἐπλήσθη', 'occurrence': 1, 'strong': 'G41300', 'lemma': 'πλήθω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐπλήσθη",1,1,"[{'id': 1228031, 'book_id': 'luk', 'chapter': '1', 'verse': '67', 'word_num': 4, 'word': 'was', 'occurrence': 1}, {'id': 1228032, 'book_id': 'luk', 'chapter': '1', 'verse': '67', 'word_num': 5, 'word': 'filled', 'occurrence': 1}]","was filled",2,"ἐπλήσθη = was filled",0.13636363636363635,0,0
"469631","luk","2","6","8",",1450344,",",1228359,1228360,",0,"[{'id': 1450344, 'book_id': 'luk', 'chapter': '2', 'verse': '6', 'word_num': 7, 'word': 'ἐπλήσθησαν', 'occurrence': 1, 'strong': 'G41300', 'lemma': 'πλήθω', 'morph': 'Gr,V,IAP3,,P,'}]","ἐπλήσθησαν",1,1,"[{'id': 1228359, 'book_id': 'luk', 'chapter': '2', 'verse': '6', 'word_num': 11, 'word': 'were', 'occurrence': 2}, {'id': 1228360, 'book_id': 'luk', 'chapter': '2', 'verse': '6', 'word_num': 12, 'word': 'fulfilled', 'occurrence': 1}]","were fulfilled",2,"ἐπλήσθησαν = were fulfilled",0.09090909090909091,0,0
"469856","luk","2","21","4",",1450582,",",1228686,1228687,1228688,",0,"[{'id': 1450582, 'book_id': 'luk', 'chapter': '2', 'verse': '21', 'word_num': 2, 'word': 'ἐπλήσθησαν', 'occurrence': 1, 'strong': 'G41300', 'lemma': 'πλήθω', 'morph': 'Gr,V,IAP3,,P,'}]","ἐπλήσθησαν",1,2,"[{'id': 1228686, 'book_id': 'luk', 'chapter': '2', 'verse': '21', 'word_num': 4, 'word': 'had', 'occurrence': 1}, {'id': 1228687, 'book_id': 'luk', 'chapter': '2', 'verse': '21', 'word_num': 5, 'word': 'been', 'occurrence': 1}, {'id': 1228688, 'book_id': 'luk', 'chapter': '2', 'verse': '21', 'word_num': 6, 'word': 'fulfilled', 'occurrence': 1}]","had been fulfilled",3,"ἐπλήσθησαν = had been fulfilled",0.09090909090909091,0,0
"469882","luk","2","22","7",",1450608,",",1228720,1228721,1228722,",0,"[{'id': 1450608, 'book_id': 'luk', 'chapter': '2', 'verse': '22', 'word_num': 2, 'word': 'ἐπλήσθησαν', 'occurrence': 1, 'strong': 'G41300', 'lemma': 'πλήθω', 'morph': 'Gr,V,IAP3,,P,'}]","ἐπλήσθησαν",1,2,"[{'id': 1228720, 'book_id': 'luk', 'chapter': '2', 'verse': '22', 'word_num': 7, 'word': 'had', 'occurrence': 1}, {'id': 1228721, 'book_id': 'luk', 'chapter': '2', 'verse': '22', 'word_num': 8, 'word': 'been', 'occurrence': 1}, {'id': 1228722, 'book_id': 'luk', 'chapter': '2', 'verse': '22', 'word_num': 9, 'word': 'fulfilled', 'occurrence': 1}]","had been fulfilled",3,"ἐπλήσθησαν = had been fulfilled",0.09090909090909091,0,0
"471408","luk","4","28","5",",1452169,",",1230728,1230729,",0,"[{'id': 1452169, 'book_id': 'luk', 'chapter': '4', 'verse': '28', 'word_num': 1, 'word': 'ἐπλήσθησαν', 'occurrence': 1, 'strong': 'G41300', 'lemma': 'πλήθω', 'morph': 'Gr,V,IAP3,,P,'}]","ἐπλήσθησαν",1,1,"[{'id': 1230728, 'book_id': 'luk', 'chapter': '4', 'verse': '28', 'word_num': 5, 'word': 'was', 'occurrence': 1}, {'id': 1230729, 'book_id': 'luk', 'chapter': '4', 'verse': '28', 'word_num': 6, 'word': 'filled', 'occurrence': 1}]","was filled",2,"ἐπλήσθησαν = was filled",0.045454545454545456,0,0
"471831","luk","5","7","16",",1452598,",",1231299,",0,"[{'id': 1452598, 'book_id': 'luk', 'chapter': '5', 'verse': '7', 'word_num': 15, 'word': 'ἔπλησαν', 'occurrence': 1, 'strong': 'G41300', 'lemma': 'πλήθω', 'morph': 'Gr,V,IAA3,,P,'}]","ἔπλησαν",1,0,"[{'id': 1231299, 'book_id': 'luk', 'chapter': '5', 'verse': '7', 'word_num': 21, 'word': 'filled', 'occurrence': 1}]","filled",1,"ἔπλησαν = filled",0.045454545454545456,0,0
