"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"459287","mrk","3","5","4",",1439060,",",1213446,",0,"[{'id': 1439060, 'book_id': 'mrk', 'chapter': '3', 'verse': '5', 'word_num': 4, 'word': 'ὀργῆς', 'occurrence': 1, 'strong': 'G37090', 'lemma': 'ὀργή', 'morph': 'Gr,N,,,,,GFS,'}]","ὀργῆς",1,0,"[{'id': 1213446, 'book_id': 'mrk', 'chapter': '3', 'verse': '5', 'word_num': 7, 'word': 'anger', 'occurrence': 1}]","anger",1,"ὀργῆς = anger",0.03773584905660377,2,0,0
"470504","luk","3","7","18",",1451247,",",1229550,",0,"[{'id': 1451247, 'book_id': 'luk', 'chapter': '3', 'verse': '7', 'word_num': 17, 'word': 'ὀργῆς', 'occurrence': 1, 'strong': 'G37090', 'lemma': 'ὀργή', 'morph': 'Gr,N,,,,,GFS,'}]","ὀργῆς",1,0,"[{'id': 1229550, 'book_id': 'luk', 'chapter': '3', 'verse': '7', 'word_num': 26, 'word': 'wrath', 'occurrence': 1}]","wrath",1,"ὀργῆς = wrath",0.11320754716981132,6,0,0
"471409","luk","4","28","6",",1452171,",",1230730,1230731,",0,"[{'id': 1452171, 'book_id': 'luk', 'chapter': '4', 'verse': '28', 'word_num': 3, 'word': 'θυμοῦ', 'occurrence': 1, 'strong': 'G23720', 'lemma': 'θυμός', 'morph': 'Gr,N,,,,,GMS,'}]","θυμοῦ",1,1,"[{'id': 1230730, 'book_id': 'luk', 'chapter': '4', 'verse': '28', 'word_num': 7, 'word': 'with', 'occurrence': 1}, {'id': 1230731, 'book_id': 'luk', 'chapter': '4', 'verse': '28', 'word_num': 8, 'word': 'rage', 'occurrence': 1}]","with rage",2,"θυμοῦ = with rage",0.018867924528301886,1,0,0
"484588","luk","21","23","18",",1465542,",",1248747,",0,"[{'id': 1465542, 'book_id': 'luk', 'chapter': '21', 'verse': '23', 'word_num': 21, 'word': 'ὀργὴ', 'occurrence': 1, 'strong': 'G37090', 'lemma': 'ὀργή', 'morph': 'Gr,N,,,,,NFS,'}]","ὀργὴ",1,0,"[{'id': 1248747, 'book_id': 'luk', 'chapter': '21', 'verse': '23', 'word_num': 26, 'word': 'wrath', 'occurrence': 1}]","wrath",1,"ὀργὴ = wrath",0.09433962264150944,5,0,0
"489292","jhn","3","36","18",",1470436,",",1255024,",0,"[{'id': 1470436, 'book_id': 'jhn', 'chapter': '3', 'verse': '36', 'word_num': 18, 'word': 'ὀργὴ', 'occurrence': 1, 'strong': 'G37090', 'lemma': 'ὀργή', 'morph': 'Gr,N,,,,,NFS,'}]","ὀργὴ",1,0,"[{'id': 1255024, 'book_id': 'jhn', 'chapter': '3', 'verse': '36', 'word_num': 22, 'word': 'wrath', 'occurrence': 1}]","wrath",1,"ὀργὴ = wrath",0.09433962264150944,5,0,0
"514154","act","19","28","4",",1496745,",",1288770,1288771,",0,"[{'id': 1496745, 'book_id': 'act', 'chapter': '19', 'verse': '28', 'word_num': 5, 'word': 'θυμοῦ', 'occurrence': 1, 'strong': 'G23720', 'lemma': 'θυμός', 'morph': 'Gr,N,,,,,GMS,'}]","θυμοῦ",1,1,"[{'id': 1288770, 'book_id': 'act', 'chapter': '19', 'verse': '28', 'word_num': 5, 'word': 'with', 'occurrence': 1}, {'id': 1288771, 'book_id': 'act', 'chapter': '19', 'verse': '28', 'word_num': 6, 'word': 'anger', 'occurrence': 1}]","with anger",2,"θυμοῦ = with anger",0.018867924528301886,1,0,0
"520159","rom","1","18","1",",1502904,",",1297201,1297202,",0,"[{'id': 1502904, 'book_id': 'rom', 'chapter': '1', 'verse': '18', 'word_num': 2, 'word': 'ὀργὴ', 'occurrence': 1, 'strong': 'G37090', 'lemma': 'ὀργή', 'morph': 'Gr,N,,,,,NFS,'}]","ὀργὴ",1,1,"[{'id': 1297201, 'book_id': 'rom', 'chapter': '1', 'verse': '18', 'word_num': 1, 'word': 'the', 'occurrence': 1}, {'id': 1297202, 'book_id': 'rom', 'chapter': '1', 'verse': '18', 'word_num': 2, 'word': 'wrath', 'occurrence': 1}]","the wrath",2,"ὀργὴ = the wrath",0.018867924528301886,1,0,0
"520481","rom","2","5","9",",1503263,",",1297696,",0,"[{'id': 1503263, 'book_id': 'rom', 'chapter': '2', 'verse': '5', 'word_num': 10, 'word': 'ὀργὴν', 'occurrence': 1, 'strong': 'G37090', 'lemma': 'ὀργή', 'morph': 'Gr,N,,,,,AFS,'}]","ὀργὴν",1,0,"[{'id': 1297696, 'book_id': 'rom', 'chapter': '2', 'verse': '5', 'word_num': 19, 'word': 'wrath', 'occurrence': 1}]","wrath",1,"ὀργὴν = wrath",0.09433962264150944,5,0,0
"520484","rom","2","5","12",",1503266,",",1297700,1297701,",0,"[{'id': 1503266, 'book_id': 'rom', 'chapter': '2', 'verse': '5', 'word_num': 13, 'word': 'ὀργῆς', 'occurrence': 1, 'strong': 'G37090', 'lemma': 'ὀργή', 'morph': 'Gr,N,,,,,GFS,'}]","ὀργῆς",1,1,"[{'id': 1297700, 'book_id': 'rom', 'chapter': '2', 'verse': '5', 'word_num': 23, 'word': 'of', 'occurrence': 2}, {'id': 1297701, 'book_id': 'rom', 'chapter': '2', 'verse': '5', 'word_num': 24, 'word': 'wrath', 'occurrence': 2}]","of wrath",2,"ὀργῆς = of wrath",0.05660377358490566,3,0,0
"520520","rom","2","8","10",",1503305,",",1297757,",0,"[{'id': 1503305, 'book_id': 'rom', 'chapter': '2', 'verse': '8', 'word_num': 12, 'word': 'ὀργὴ', 'occurrence': 1, 'strong': 'G37090', 'lemma': 'ὀργή', 'morph': 'Gr,N,,,,,NFS,'}]","ὀργὴ",1,0,"[{'id': 1297757, 'book_id': 'rom', 'chapter': '2', 'verse': '8', 'word_num': 15, 'word': 'wrath', 'occurrence': 1}]","wrath",1,"ὀργὴ = wrath",0.09433962264150944,5,0,0
"520522","rom","2","8","12",",1503307,",",1297759,1297760,1297761,1297762,",0,"[{'id': 1503307, 'book_id': 'rom', 'chapter': '2', 'verse': '8', 'word_num': 14, 'word': 'θυμός', 'occurrence': 1, 'strong': 'G23720', 'lemma': 'θυμός', 'morph': 'Gr,N,,,,,NMS,'}]","θυμός",1,3,"[{'id': 1297759, 'book_id': 'rom', 'chapter': '2', 'verse': '8', 'word_num': 17, 'word': 'fierce', 'occurrence': 1}, {'id': 1297760, 'book_id': 'rom', 'chapter': '2', 'verse': '8', 'word_num': 18, 'word': 'anger', 'occurrence': 1}, {'id': 1297761, 'book_id': 'rom', 'chapter': '2', 'verse': '8', 'word_num': 19, 'word': 'will', 'occurrence': 1}, {'id': 1297762, 'book_id': 'rom', 'chapter': '2', 'verse': '8', 'word_num': 20, 'word': 'come', 'occurrence': 1}]","fierce anger will come",4,"θυμός = fierce anger will come",0.018867924528301886,1,0,0
"520874","rom","3","5","12",",1503702,1503703,",",1298347,1298348,",1,"[{'id': 1503702, 'book_id': 'rom', 'chapter': '3', 'verse': '5', 'word_num': 16, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1503703, 'book_id': 'rom', 'chapter': '3', 'verse': '5', 'word_num': 17, 'word': 'ὀργήν', 'occurrence': 1, 'strong': 'G37090', 'lemma': 'ὀργή', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ὀργήν",2,1,"[{'id': 1298347, 'book_id': 'rom', 'chapter': '3', 'verse': '5', 'word_num': 18, 'word': 'his', 'occurrence': 1}, {'id': 1298348, 'book_id': 'rom', 'chapter': '3', 'verse': '5', 'word_num': 19, 'word': 'wrath', 'occurrence': 1}]","his wrath",2,"τὴν ὀργήν = his wrath",0.018867924528301886,1,0,0
"521387","rom","4","15","4",",1504272,",",1299163,",0,"[{'id': 1504272, 'book_id': 'rom', 'chapter': '4', 'verse': '15', 'word_num': 3, 'word': 'ὀργὴν', 'occurrence': 1, 'strong': 'G37090', 'lemma': 'ὀργή', 'morph': 'Gr,N,,,,,AFS,'}]","ὀργὴν",1,0,"[{'id': 1299163, 'book_id': 'rom', 'chapter': '4', 'verse': '15', 'word_num': 5, 'word': 'wrath', 'occurrence': 1}]","wrath",1,"ὀργὴν = wrath",0.09433962264150944,5,0,0
