"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458683","mrk","1","44","12",",1438420,",",1212594,",0,"[{'id': 1438420, 'book_id': 'mrk', 'chapter': '1', 'verse': '44', 'word_num': 12, 'word': 'ἱερεῖ', 'occurrence': 1, 'strong': 'G24090', 'lemma': 'ἱερεύς', 'morph': 'Gr,N,,,,,DMS,'}]","ἱερεῖ",1,0,"[{'id': 1212594, 'book_id': 'mrk', 'chapter': '1', 'verse': '44', 'word_num': 18, 'word': 'priest', 'occurrence': 1}]","priest",1,"ἱερεῖ = priest",0.5,1,0,0
"471968","luk","5","14","10",",1452735,",",1231477,",0,"[{'id': 1452735, 'book_id': 'luk', 'chapter': '5', 'verse': '14', 'word_num': 11, 'word': 'ἱερεῖ', 'occurrence': 1, 'strong': 'G24090', 'lemma': 'ἱερεύς', 'morph': 'Gr,N,,,,,DMS,'}]","ἱερεῖ",1,0,"[{'id': 1231477, 'book_id': 'luk', 'chapter': '5', 'verse': '14', 'word_num': 12, 'word': 'to', 'occurrence': 2}]","to",1,"ἱερεῖ = to",0.5,1,0,0
"459198","mrk","2","26","22",",1438969,",",1213314,",0,"[{'id': 1438969, 'book_id': 'mrk', 'chapter': '2', 'verse': '26', 'word_num': 23, 'word': 'ἱερεῖς', 'occurrence': 1, 'strong': 'G24090', 'lemma': 'ἱερεύς', 'morph': 'Gr,N,,,,,AMP,'}]","ἱερεῖς",1,0,"[{'id': 1213314, 'book_id': 'mrk', 'chapter': '2', 'verse': '26', 'word_num': 29, 'word': 'priests', 'occurrence': 1}]","priests",1,"ἱερεῖς = priests",0.9,9,0,0
"472525","luk","6","4","26",",1453301,",",1232219,",0,"[{'id': 1453301, 'book_id': 'luk', 'chapter': '6', 'verse': '4', 'word_num': 27, 'word': 'ἱερεῖς', 'occurrence': 1, 'strong': 'G24090', 'lemma': 'ἱερεύς', 'morph': 'Gr,N,,,,,AMP,'}]","ἱερεῖς",1,0,"[{'id': 1232219, 'book_id': 'luk', 'chapter': '6', 'verse': '4', 'word_num': 31, 'word': 'for', 'occurrence': 1}]","for",1,"ἱερεῖς = for",0.1,1,0,0
"487783","jhn","1","19","9",",1468794,",",1253031,",0,"[{'id': 1468794, 'book_id': 'jhn', 'chapter': '1', 'verse': '19', 'word_num': 13, 'word': 'ἱερεῖς', 'occurrence': 1, 'strong': 'G24090', 'lemma': 'ἱερεύς', 'morph': 'Gr,N,,,,,AMP,'}]","ἱερεῖς",1,0,"[{'id': 1253031, 'book_id': 'jhn', 'chapter': '1', 'verse': '19', 'word_num': 10, 'word': 'priests', 'occurrence': 1}]","priests",1,"ἱερεῖς = priests",0.9,9,0,0
"503709","act","4","1","7",",1486006,",",1274757,",0,"[{'id': 1486006, 'book_id': 'act', 'chapter': '4', 'verse': '1', 'word_num': 9, 'word': 'ἱερεῖς', 'occurrence': 1, 'strong': 'G24090', 'lemma': 'ἱερεύς', 'morph': 'Gr,N,,,,,NMP,'}]","ἱερεῖς",1,0,"[{'id': 1274757, 'book_id': 'act', 'chapter': '4', 'verse': '1', 'word_num': 8, 'word': 'priests', 'occurrence': 1}]","priests",1,"ἱερεῖς = priests",0.9,9,0,0
"552864","heb","7","20","9",",1537002,",",1345110,",0,"[{'id': 1537002, 'book_id': 'heb', 'chapter': '7', 'verse': '20', 'word_num': 12, 'word': 'ἱερεῖς', 'occurrence': 1, 'strong': 'G24090', 'lemma': 'ἱερεύς', 'morph': 'Gr,N,,,,,NMP,'}]","ἱερεῖς",1,0,"[{'id': 1345110, 'book_id': 'heb', 'chapter': '7', 'verse': '20', 'word_num': 11, 'word': 'priests', 'occurrence': 1}]","priests",1,"ἱερεῖς = priests",0.9,9,0,0
"552897","heb","7","23","2",",1537037,",",1345159,",0,"[{'id': 1537037, 'book_id': 'heb', 'chapter': '7', 'verse': '23', 'word_num': 6, 'word': 'ἱερεῖς', 'occurrence': 1, 'strong': 'G24090', 'lemma': 'ἱερεύς', 'morph': 'Gr,N,,,,,NMP,'}]","ἱερεῖς",1,0,"[{'id': 1345159, 'book_id': 'heb', 'chapter': '7', 'verse': '23', 'word_num': 2, 'word': 'priests', 'occurrence': 1}]","priests",1,"ἱερεῖς = priests",0.9,9,0,0
"553340","heb","9","6","6",",1537516,",",1345821,",0,"[{'id': 1537516, 'book_id': 'heb', 'chapter': '9', 'verse': '6', 'word_num': 13, 'word': 'ἱερεῖς', 'occurrence': 1, 'strong': 'G24090', 'lemma': 'ἱερεύς', 'morph': 'Gr,N,,,,,NMP,'}]","ἱερεῖς",1,0,"[{'id': 1345821, 'book_id': 'heb', 'chapter': '9', 'verse': '6', 'word_num': 7, 'word': 'priests', 'occurrence': 1}]","priests",1,"ἱερεῖς = priests",0.9,9,0,0
"562832","rev","1","6","3",",1547664,",",1360094,",0,"[{'id': 1547664, 'book_id': 'rev', 'chapter': '1', 'verse': '6', 'word_num': 4, 'word': 'ἱερεῖς', 'occurrence': 1, 'strong': 'G24090', 'lemma': 'ἱερεύς', 'morph': 'Gr,N,,,,,AMP,'}]","ἱερεῖς",1,0,"[{'id': 1360094, 'book_id': 'rev', 'chapter': '1', 'verse': '6', 'word_num': 6, 'word': 'priests', 'occurrence': 1}]","priests",1,"ἱερεῖς = priests",0.9,9,0,0
