"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458793","mrk","2","5","8",",1438531,",",1212752,",0,"[{'id': 1438531, 'book_id': 'mrk', 'chapter': '2', 'verse': '5', 'word_num': 10, 'word': 'τέκνον', 'occurrence': 1, 'strong': 'G50430', 'lemma': 'τέκνον', 'morph': 'Gr,N,,,,,VNS,'}]","τέκνον",1,0,"[{'id': 1212752, 'book_id': 'mrk', 'chapter': '2', 'verse': '5', 'word_num': 11, 'word': 'Son', 'occurrence': 1}]","Son",1,"τέκνον = Son",0.07692307692307693,1,0,0
"465553","mrk","12","19","15",",1445820,",",1222288,1222289,",0,"[{'id': 1445820, 'book_id': 'mrk', 'chapter': '12', 'verse': '19', 'word_num': 15, 'word': 'τέκνον', 'occurrence': 1, 'strong': 'G50430', 'lemma': 'τέκνον', 'morph': 'Gr,N,,,,,ANS,'}]","τέκνον",1,1,"[{'id': 1222288, 'book_id': 'mrk', 'chapter': '12', 'verse': '19', 'word_num': 20, 'word': 'a', 'occurrence': 3}, {'id': 1222289, 'book_id': 'mrk', 'chapter': '12', 'verse': '19', 'word_num': 21, 'word': 'child', 'occurrence': 1}]","a child",2,"τέκνον = a child",0.15384615384615385,2,0,0
"466175","mrk","13","12","7",",1446502,",",1223148,1223149,",0,"[{'id': 1446502, 'book_id': 'mrk', 'chapter': '13', 'verse': '12', 'word_num': 8, 'word': 'τέκνον', 'occurrence': 1, 'strong': 'G50430', 'lemma': 'τέκνον', 'morph': 'Gr,N,,,,,ANS,'}]","τέκνον",1,1,"[{'id': 1223148, 'book_id': 'mrk', 'chapter': '13', 'verse': '12', 'word_num': 10, 'word': 'his', 'occurrence': 1}, {'id': 1223149, 'book_id': 'mrk', 'chapter': '13', 'verse': '12', 'word_num': 11, 'word': 'child', 'occurrence': 1}]","his child",2,"τέκνον = his child",0.07692307692307693,1,0,0
"468505","luk","1","7","4",",1449171,",",1226802,1226803,",0,"[{'id': 1449171, 'book_id': 'luk', 'chapter': '1', 'verse': '7', 'word_num': 4, 'word': 'τέκνον', 'occurrence': 1, 'strong': 'G50430', 'lemma': 'τέκνον', 'morph': 'Gr,N,,,,,NNS,'}]","τέκνον",1,1,"[{'id': 1226802, 'book_id': 'luk', 'chapter': '1', 'verse': '7', 'word_num': 5, 'word': 'a', 'occurrence': 1}, {'id': 1226803, 'book_id': 'luk', 'chapter': '1', 'verse': '7', 'word_num': 6, 'word': 'child', 'occurrence': 1}]","a child",2,"τέκνον = a child",0.15384615384615385,2,0,0
"470297","luk","2","48","10",",1451038,",",1229274,",0,"[{'id': 1451038, 'book_id': 'luk', 'chapter': '2', 'verse': '48', 'word_num': 11, 'word': 'τέκνον', 'occurrence': 1, 'strong': 'G50430', 'lemma': 'τέκνον', 'morph': 'Gr,N,,,,,VNS,'}]","τέκνον",1,0,"[{'id': 1229274, 'book_id': 'luk', 'chapter': '2', 'verse': '48', 'word_num': 14, 'word': 'Child', 'occurrence': 1}]","Child",1,"τέκνον = Child",0.23076923076923078,3,0,0
"480959","luk","15","31","4",",1461873,",",1243689,",0,"[{'id': 1461873, 'book_id': 'luk', 'chapter': '15', 'verse': '31', 'word_num': 4, 'word': 'τέκνον', 'occurrence': 1, 'strong': 'G50430', 'lemma': 'τέκνον', 'morph': 'Gr,N,,,,,VNS,'}]","τέκνον",1,0,"[{'id': 1243689, 'book_id': 'luk', 'chapter': '15', 'verse': '31', 'word_num': 5, 'word': 'Child', 'occurrence': 1}]","Child",1,"τέκνον = Child",0.23076923076923078,3,0,0
"481451","luk","16","25","3",",1462375,",",1244369,",0,"[{'id': 1462375, 'book_id': 'luk', 'chapter': '16', 'verse': '25', 'word_num': 3, 'word': 'τέκνον', 'occurrence': 1, 'strong': 'G50430', 'lemma': 'τέκνον', 'morph': 'Gr,N,,,,,VNS,'}]","τέκνον",1,0,"[{'id': 1244369, 'book_id': 'luk', 'chapter': '16', 'verse': '25', 'word_num': 3, 'word': 'Child', 'occurrence': 1}]","Child",1,"τέκνον = Child",0.23076923076923078,3,0,0
"527755","1co","4","17","10",",1511140,",",1308762,",0,"[{'id': 1511140, 'book_id': '1co', 'chapter': '4', 'verse': '17', 'word_num': 8, 'word': 'τέκνον', 'occurrence': 1, 'strong': 'G50430', 'lemma': 'τέκνον', 'morph': 'Gr,N,,,,,NNS,'}]","τέκνον",1,0,"[{'id': 1308762, 'book_id': '1co', 'chapter': '4', 'verse': '17', 'word_num': 14, 'word': 'child', 'occurrence': 1}]","child",1,"τέκνον = child",0.15384615384615385,2,0,0
"542702","php","2","22","6",",1526486,",",1330462,1330463,",0,"[{'id': 1526486, 'book_id': 'php', 'chapter': '2', 'verse': '22', 'word_num': 8, 'word': 'τέκνον', 'occurrence': 1, 'strong': 'G50430', 'lemma': 'τέκνον', 'morph': 'Gr,N,,,,,NNS,'}]","τέκνον",1,1,"[{'id': 1330462, 'book_id': 'php', 'chapter': '2', 'verse': '22', 'word_num': 7, 'word': 'a', 'occurrence': 1}, {'id': 1330463, 'book_id': 'php', 'chapter': '2', 'verse': '22', 'word_num': 8, 'word': 'son', 'occurrence': 1}]","a son",2,"τέκνον = a son",0.07692307692307693,1,0,0
"547414","1ti","1","18","5",",1531458,",",1337247,1337248,",0,"[{'id': 1531458, 'book_id': '1ti', 'chapter': '1', 'verse': '18', 'word_num': 5, 'word': 'τέκνον', 'occurrence': 1, 'strong': 'G50430', 'lemma': 'τέκνον', 'morph': 'Gr,N,,,,,VNS,'}]","τέκνον",1,1,"[{'id': 1337247, 'book_id': '1ti', 'chapter': '1', 'verse': '18', 'word_num': 8, 'word': 'my', 'occurrence': 1}, {'id': 1337248, 'book_id': '1ti', 'chapter': '1', 'verse': '18', 'word_num': 9, 'word': 'child', 'occurrence': 1}]","my child",2,"τέκνον = my child",0.07692307692307693,1,0,0
"549085","2ti","2","1","3",",1533103,",",1339590,",0,"[{'id': 1533103, 'book_id': '2ti', 'chapter': '2', 'verse': '1', 'word_num': 2, 'word': 'τέκνον', 'occurrence': 1, 'strong': 'G50430', 'lemma': 'τέκνον', 'morph': 'Gr,N,,,,,VNS,'}]","τέκνον",1,0,"[{'id': 1339590, 'book_id': '2ti', 'chapter': '2', 'verse': '1', 'word_num': 3, 'word': 'child', 'occurrence': 1}]","child",1,"τέκνον = child",0.15384615384615385,2,0,0
"566968","rev","12","4","28",",1552289,1552290,",",1365837,",1,"[{'id': 1552289, 'book_id': 'rev', 'chapter': '12', 'verse': '4', 'word_num': 30, 'word': 'τὸ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1552290, 'book_id': 'rev', 'chapter': '12', 'verse': '4', 'word_num': 31, 'word': 'τέκνον', 'occurrence': 1, 'strong': 'G50430', 'lemma': 'τέκνον', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ τέκνον",2,0,"[{'id': 1365837, 'book_id': 'rev', 'chapter': '12', 'verse': '4', 'word_num': 41, 'word': 'child', 'occurrence': 1}]","child",1,"τὸ τέκνον = child",0.15384615384615385,2,0,0
